Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Aranbaltza II;Spain;Europe;Southern Europe;open air;-2.965;43.399;US4b lithic assemblage;1;miscellaneous finds, raw material, technology, typology;40600;55900;US4b;miscellaneous finds, typology, technology;Middle Paleolithic;Chatelperronian;5686
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit D occupation (lithics);1;raw material, technology, typology;34000;40000;Unit D;technology, typology;Middle Paleolithic;Chatelperronian;415
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer Xa occupation;13;raw material, technology, typology;27000;40000;Unit X;typology, technology;Middle Paleolithic;Chatelperronian;9595
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer Xb occupation;14;raw material, technology, typology;27000;40000;Unit X;typology, technology;Middle Paleolithic;Chatelperronian;38724
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer Xc occupation;15;raw material, technology, typology;27000;40000;Unit X;typology, technology;Middle Paleolithic;Chatelperronian;14307
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer VIII occupation;5;human remains, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;27000;40000;Unit VIII;technology, typology, organic tools, symbolic artifacts, miscellaneous finds;Middle Paleolithic;Chatelperronian;8725
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer IX occupation;6;human remains, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;27000;40000;Unit IX;symbolic artifacts, typology, technology, miscellaneous finds, organic tools;Middle Paleolithic;Chatelperronian;11856
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer X occupation;7;feature, human remains, miscellaneous finds, organic tools, symbolic artifacts;27000;40000;Unit X;feature, organic tools, symbolic artifacts, miscellaneous finds;Middle Paleolithic;Chatelperronian;-1
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer X occupation (NEW);8;raw material, typology;27000;40000;Unit X;typology;Middle Paleolithic;Chatelperronian;1168
Bidart;France;Europe;Western Europe;open air;-1.582;43.435;Bidart Unit 2 Archaeological Assemblage;1;miscellaneous finds, raw material, technology, typology;35000;45000;Unit 2;miscellaneous finds, typology, technology;Middle Paleolithic;Chatelperronian;1452
