Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb1 (lithics);2;miscellaneous finds, raw material, technology, typology;29000;57000;Unit 15;miscellaneous finds, technology, typology;Middle Paleolithic;Denticulate Mousterian;5182
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb2 (lithics);3;raw material, technology, typology;29000;57000;Unit 16;technology, typology;Middle Paleolithic;Denticulate Mousterian;303
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit G occupation (lithics OLD);6;raw material, technology, typology;34000;40000;Unit G;technology, typology;Middle Paleolithic;Denticulate Mousterian;153
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit G occupation (lithics NEW);7;technology, typology;34000;40000;Unit G;typology, technology;Middle Paleolithic;Denticulate Mousterian;716
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit H occupation (lithics OLD);8;raw material, technology, typology;34000;40000;Unit H;typology, technology;Middle Paleolithic;Denticulate Mousterian;403
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit H occupation (lithics NEW);9;technology, typology;34000;40000;Unit H;typology, technology;Middle Paleolithic;Denticulate Mousterian;1066
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer XII occupation;10;feature, miscellaneous finds, organic tools, raw material, technology, typology;40000;45000;Unit XII;typology, organic tools, miscellaneous finds, technology, feature;Middle Paleolithic;Denticulate Mousterian;2782
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer XI occupation;9;human remains, miscellaneous finds, organic tools, raw material, technology, typology;40000;45000;Unit XI;miscellaneous finds, organic tools, typology, technology;Middle Paleolithic;Denticulate Mousterian;2769
Champs-de-Bossuet;France;Europe;Western Europe;open air;-0.218;44.984;Champs-de-Bossuet Unit II Layer 1 Archaeological Assemblage;1;raw material, technology, typology;30000;70000;Unit II Layer 1;typology, technology;Middle Paleolithic;Denticulate Mousterian;13531
Chez-Pinaud;France;Europe;Western Europe;collapsed shelter;-0.419;45.438;Chez-Pinaud SW-US 08 Archaeological Assemblage;10;raw material, technology, typology;54000;80600;Unit 5;typology, technology;Middle Paleolithic;Denticulate Mousterian;1856
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 12 Archaeological Assemblage;108;miscellaneous finds;29000;57000;Level 12;miscellaneous finds;Middle Paleolithic;Denticulate Mousterian;-1
