Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 2;7;raw material, technology, typology;30000;70000;Unit h;typology, technology;Middle Paleolithic;Late Mousterian - Eurasia;209
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 1;8;raw material, technology, typology;30000#30000;70000#70000;Unit d#Unit e;technology, typology;Middle Paleolithic;Late Mousterian - Eurasia;3695
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVa (lithics);1;raw material, technology, typology;29000;57000;Unit 14;technology, typology;Middle Paleolithic;Late Mousterian - Eurasia;1916
Bissy-sur-Fley - La Clôsure;France;Europe;Western Europe;open air;4.628;46.674;Sondage Farizy lithics;1;raw material, technology, typology;29000;130000;Unit 2;typology, technology;Middle Paleolithic;Late Mousterian - Eurasia;533
Cardina-Salto do Boi;Portugal;Europe;Southern Europe;open air;-7.101;40.979;late Middle Paleolithic (GFU 5 / UA 11-38) lithics;4;feature, raw material, technology, typology;29000;71000;GFU 5;feature, typology, technology;Middle Paleolithic;Late Mousterian - Eurasia;7819
Champ Grand;France;Europe;Western Europe;open air;4.011;45.971;Mousterian occupation;1;raw material, technology, typology;35000;71000;Unit 4;technology, typology;Middle Paleolithic;Late Mousterian - Eurasia;84200
En Roche;France;Europe;Western Europe;open air;4.754;46.813;excavation middle paleolithic;6;raw material, technology, typology;30000;70000;Unit 3;typology, technology;Middle Paleolithic;Late Mousterian - Eurasia;26
Fossellone;Italy;Europe;Southern Europe;cave;13.08;41.223;Fossellone Unit F23 Archaeological Assemblage;2;feature, miscellaneous finds, technology, typology;40762;51000;Unit F23;technology, typology, feature, miscellaneous finds;Middle Paleolithic;Late Mousterian - Eurasia;459
Fossellone;Italy;Europe;Southern Europe;cave;13.08;41.223;Fossellone Unit F27 Archaeological Assemblage;3;miscellaneous finds, technology, typology;56000;80000;Unit F27;technology, miscellaneous finds, typology;Middle Paleolithic;Late Mousterian - Eurasia;988
Fossellone;Italy;Europe;Southern Europe;cave;13.08;41.223;Fossellone Unit F24 Archaeological Assemblage;5;feature, miscellaneous finds;40762;51000;Unit F24;miscellaneous finds, feature;Middle Paleolithic;Late Mousterian - Eurasia;-1
Fossellone;Italy;Europe;Southern Europe;cave;13.08;41.223;Fossellone Unit F25 Archaeological Assemblage;6;feature, miscellaneous finds;40762;51000;Unit F25;feature, miscellaneous finds;Middle Paleolithic;Late Mousterian - Eurasia;-1
Fossellone;Italy;Europe;Southern Europe;cave;13.08;41.223;Fossellone Unit F26 Archaeological Assemblage;7;feature, miscellaneous finds;51000;56000;Unit F26;miscellaneous finds, feature;Middle Paleolithic;Late Mousterian - Eurasia;-1
Germolles - Grotte de la Verpillière II;France;Europe;Western Europe;collapsed shelter;4.742;46.809;Layer 3 lithics;1;raw material, technology, typology;40000;57000;GH 3;typology, technology;Middle Paleolithic;Late Mousterian - Eurasia;3770
Germolles - Grotte de la Verpillière II;France;Europe;Western Europe;collapsed shelter;4.742;46.809;Layer 4x lithics;2;raw material, technology, typology;40000;57000;GH 4x;typology, technology;Middle Paleolithic;Late Mousterian - Eurasia;27
Germolles - Grotte de la Verpillière II;France;Europe;Western Europe;collapsed shelter;4.742;46.809;Layer 4 lithics;3;raw material, technology, typology;40000;57000;GH 4;technology, typology;Middle Paleolithic;Late Mousterian - Eurasia;211
Goaréva;France;Europe;Western Europe;rock shelter;-3.012;48.838;Goaréva Layer 2 - Lithics;1;raw material, technology, typology;40000;80000;Layer 2;technology, typology;Middle Paleolithic;Late Mousterian - Eurasia;6900
