Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Balver Cave;Germany;Europe;Central Europe;cave;7.874;51.337;Balve II assemblage;2;raw material, technology, typology;68000;72000;layer A III/ B III (4-3);typology, technology;Middle Paleolithic;Micoquian;1565
Balver Cave;Germany;Europe;Central Europe;cave;7.874;51.337;Balve III assemblage;3;organic tools, raw material, technology, typology;65000;68000;layer A III/ B IIIa (2-1);organic tools, technology, typology;Middle Paleolithic;Micoquian;584
Balver Cave;Germany;Europe;Central Europe;cave;7.874;51.337;Balve II-III assemblage;5;raw material, technology, typology;68000;72000;layer A III/ B III (4-3);typology, technology;Middle Paleolithic;Micoquian;1328
Bisnik Cave;Poland;Europe;Central Europe;cave;19.665;50.426;Bisnik Cave Archaeological Assemblage F;1;feature, raw material, technology, typology;40000#40000;70000#70000;Layer 5#Layer 6;technology, feature, typology;Middle Paleolithic;Micoquian;1137
Bisnik Cave;Poland;Europe;Central Europe;cave;19.665;50.426;Bisnik Cave Archaeological Assemblage E;2;feature, function, raw material, technology, typology;40000#60000;70000#74000;Layer 7#Layer 8;feature, function, technology, typology;Middle Paleolithic;Micoquian;270
Bockstein-Abhang;Germany;Europe;Central Europe;hill slope;10.155;48.554;Bockstein-Abhang AH III assemblage;3;raw material, technology, typology;90000;130000;GH g;technology, typology;Middle Paleolithic;Micoquian;154
Bocksteinschmiede-Bocksteinloch;Germany;Europe;Central Europe;cave;10.155;48.554;Bocksteinschmiede BS III assemblage;3;feature, raw material, symbolic artifacts, technology, typology;115000;130000;GH h;symbolic artifacts, typology, feature, technology;Middle Paleolithic;Micoquian;2796
Bocksteinschmiede-Bocksteinloch;Germany;Europe;Central Europe;cave;10.155;48.554;Bocksteinschmiede-Bocksteinloch BS III assemblage;4;organic tools, raw material, technology, typology;115000;130000;GH h;technology, typology, organic tools;Middle Paleolithic;Micoquian;11
Bocksteinschmiede-Bocksteinloch;Germany;Europe;Central Europe;cave;10.155;48.554;Bocksteinloch BS III assemblage;5;raw material, technology, typology;115000;130000;GH h;typology, technology;Middle Paleolithic;Micoquian;41
Bocksteinschmiede-Bocksteinloch;Germany;Europe;Central Europe;cave;10.155;48.554;Bocksteinschmiede BS IV assemblage;6;organic tools, raw material, technology, typology;70000;115000;GH g;organic tools, typology, technology;Middle Paleolithic;Micoquian;35
Bocksteinschmiede-Bocksteinloch;Germany;Europe;Central Europe;cave;10.155;48.554;Bocksteinschmiede-Bocksteinloch BS V assemblage;7;organic tools, raw material, technology, typology;60000;70000;GH f;technology, typology, organic tools;Middle Paleolithic;Micoquian;5
Buhlen_Oberer Fundplatz;Germany;Europe;Central Europe;rock shelter;9.087;51.191;Buhlen_Oberer Fundplatz Bu-III assemblage;1;miscellaneous finds, organic tools, raw material, technology, typology;57000#71000#71000;82000#82000#87000;layer IIIb#layer IIIc#layer IIId;miscellaneous finds, organic tools, typology, technology;Middle Paleolithic;Micoquian;-1
Ciemna Cave;Poland;Europe;Central Europe;cave;19.832;50.197;Ciemna Cave AH I Ogrojec main cultural level assemblage;14;feature, raw material, technology, typology;40000;57000;Ciemna Cave layer 11 Ogrojec;feature, technology, typology;Middle Paleolithic;Micoquian;2440
