Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Assen;Netherlands;Europe;Western Europe;open air;6.487;53.083;Surface collection assemblage;1;raw material, technology, typology;50000;100000;Surface layer;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;79
Assen;Netherlands;Europe;Western Europe;open air;6.487;53.083;layer 4 assemblage;2;raw material, technology, typology;50000;100000;layer 4;technology, typology;Middle Paleolithic;Mousterian of Acheulean Tradition;294
Assen;Netherlands;Europe;Western Europe;open air;6.487;53.083;Concentration B assemblage;3;raw material, technology, typology;50000;100000;Concentration B;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;53
Becov I;Czech Republic;Europe;Central Europe;collapsed shelter;13.73;50.424;Becov I layer A-III-5 assemblage;3;raw material, technology, typology;109000;243000;layer 6;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;264
Chez-Pinaud;France;Europe;Western Europe;collapsed shelter;-0.419;45.438;Chez-Pinaud SW-US 06 Archaeological Assemblage;1;raw material, technology, typology;43600;73800;Unit 4;technology, typology;Middle Paleolithic;Mousterian of Acheulean Tradition;699
Chez-Pinaud;France;Europe;Western Europe;collapsed shelter;-0.419;45.438;Chez-Pinaud SW-US 07 Archaeological Assemblage;9;raw material, technology, typology;43600;73800;Unit 4;technology, typology;Middle Paleolithic;Mousterian of Acheulean Tradition;1101
Combe-Grenal;France;Europe;Western Europe;open air;1.226;44.806;Combe-Grenal Level 1 Archaeological Assemblage;1;raw material, technology, typology;29000;57000;Level 1;technology, typology;Middle Paleolithic;Mousterian of Acheulean Tradition;265
Grotte XVI;France;Europe;Western Europe;cave;1.159;44.809;Grotte XVI Level C+Cn Archaeolgoical Assemblage;2;raw material, technology, typology;19740;67100;Unit IV;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;1160
Grotte de la Chèvre;France;Europe;Western Europe;cave;-0.403;47.994;Moustérian;4;raw material, typology;45000;80000;Unit A;typology;Middle Paleolithic;Mousterian of Acheulean Tradition;-1
Haut de Combe-Capelle;France;Europe;Western Europe;rock shelter;0.85;44.753;Haut de Combe-Capelle Level 2 Archaeological Assemblage;1;miscellaneous finds, organic tools, raw material, technology, typology;40000;70000;Level 2;typology, miscellaneous finds, organic tools, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;1002
La Croix-Guémard;France;Europe;Western Europe;open air;-0.173;47;La Croix-Guémard Archaeological Surface Collection;1;raw material, technology, typology;30000;70000;Soil Surface;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;2000
La Ferrassie_Grand Abri;France;Europe;Western Europe;rock shelter;0.938;44.952;La Ferrassie_Grand Abri Peyrony Unit A Archaeological Assemblage;12;raw material, technology, typology;58500;100300;Peyrony Unit A;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;-1
La Folie;France;Europe;Western Europe;open air;0.356;46.618;La Folie Unit 11 Archaeological Assemblage;1;raw material, technology, typology;55300;85000;Unit 11;technology, typology;Middle Paleolithic;Mousterian of Acheulean Tradition;1308
La Grotte Marcel Clouet;France;Europe;Western Europe;cave;-0.346;45.708;La Grotte Marcel Clouet Unit 4 Arch. Assemblage;8;raw material, technology, typology;40000;70000;Unit 4;technology, typology;Middle Paleolithic;Mousterian of Acheulean Tradition;128
La Grotte Marcel Clouet;France;Europe;Western Europe;cave;-0.346;45.708;La Grotte Marcel Clouet Unit 5 Arch. Assemblage;9;raw material, technology, typology;40000;70000;Unit 5;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;47
La Quina - Amont;France;Europe;Western Europe;collapsed shelter;0.295;45.508;Lithics 6d;7;raw material, technology, typology;45000;55000;Unit 6;typology, technology;Middle Paleolithic;Mousterian of Acheulean Tradition;5882
Le Baste;France;Europe;Western Europe;open air;-1.46;43.479;Le Baste Niveau 4 Archaeological Assemblage;5;raw material, typology, technology;40000;70000;Unit E;technology, typology;Middle Paleolithic;Mousterian of Acheulean Tradition;354
