Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Abri Caminade;France;Europe;Western Europe;rock shelter;1.249;44.868;Est Unit M3 Archaeological Assemblage;6;raw material, technology, typology;35700;300000;Est Unit M3;typology, technology;Middle Paleolithic;Mousterian - Eurasia;-1
Abri Caminade;France;Europe;Western Europe;rock shelter;1.249;44.868;Est Unit M2 Archaeological Assemblage;7;raw material, technology, typology;35700;300000;Est Unit M2;typology, technology;Middle Paleolithic;Mousterian - Eurasia;-1
Abri Caminade;France;Europe;Western Europe;rock shelter;1.249;44.868;Est Unit M1 Archaeological Assemblage;8;raw material, technology, typology;35700;300000;Est Unit M1;technology, typology;Middle Paleolithic;Mousterian - Eurasia;-1
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit A Archaeological Assemblage;1;raw material, technology, typology;30000;300000;Unit A;technology, typology;Middle Paleolithic;Mousterian - Eurasia;3316
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit A-B Archaeological Assemblage;2;raw material, technology, typology;30000;300000;Unit A-B;typology, technology;Middle Paleolithic;Mousterian - Eurasia;512
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit B Archaeological Assemblage;3;raw material, technology, typology;30000;300000;Unit B;technology, typology;Middle Paleolithic;Mousterian - Eurasia;332
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit C Archaeological Assemblage;4;organic tools, raw material, technology, typology;30000;300000;Unit C;typology, organic tools, technology;Middle Paleolithic;Mousterian - Eurasia;927
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit D Archaeological Assemblage;5;raw material, technology, typology;30000;300000;Unit D;technology, typology;Middle Paleolithic;Mousterian - Eurasia;174
Abri I am Schulerloch;Germany;Europe;Central Europe;rock shelter;11.817;48.928;AH u assemblage;3;raw material, technology, typology;55900;350000;GH I/K;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;241
Abri Pié Lombard;France;Europe;Western Europe;rock shelter;7.045;43.702;Mousterian (lithics);1;raw material, technology, typology;60000;115000;complex II;technology, typology;Middle Paleolithic;Mousterian - Eurasia;902
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 8;1;raw material, technology, typology;80000;100000;Unit q;typology, technology;Middle Paleolithic;Charentian La Ferrassie;34
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 7;2;raw material, technology, typology;80000;100000;Unit p;typology, technology;Middle Paleolithic;Charentian La Ferrassie;72
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 6;3;raw material, technology, typology;80000;100000;Unit o;typology, technology;Middle Paleolithic;Charentian La Ferrassie;132
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 5;4;raw material, technology, typology;70000;95000;Unit m;technology, typology;Middle Paleolithic;Charentian La Ferrassie;240
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 4;5;raw material, technology, typology;30000;70000;Unit k;typology, technology;Middle Paleolithic;Charentian La Ferrassie;440
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 3;6;raw material, technology, typology;30000;70000;Unit j;typology, technology;Middle Paleolithic;Charentian La Ferrassie;1100
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 2;7;raw material, technology, typology;30000;70000;Unit h;typology, technology;Middle Paleolithic;Late Mousterian - Eurasia;209
Abri du Maras;France;Europe;Western Europe;rock shelter;4.563;44.312;niveau 1;8;raw material, technology, typology;30000#30000;70000#70000;Unit d#Unit e;technology, typology;Middle Paleolithic;Late Mousterian - Eurasia;3695
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level P (lithics);10;feature, raw material, technology, typology;53000;65000;Sequence V;feature, typology, technology;Middle Paleolithic;Mousterian - Eurasia;3375
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level Qa (lithics);11;feature;53000;65000;Sequence V;feature;Middle Paleolithic;Mousterian - Eurasia;8420
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level L (lithics);6;feature, miscellaneous finds, raw material, technology, typology;50000;60000;Sequence IV;technology, miscellaneous finds, feature, typology;Middle Paleolithic;Mousterian - Eurasia;1190
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level M (lithics);7;feature, function, miscellaneous finds, raw material, technology, typology;50000;60000;Sequence IV;feature, miscellaneous finds, typology, technology, function;Middle Paleolithic;Mousterian - Eurasia;6083
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level Oa (lithics);9;feature, raw material, technology, typology;53000;65000;Sequence V;feature, typology, technology;Middle Paleolithic;Mousterian - Eurasia;1486
Abrigo de Navalmaíllo;Spain;Europe;Southern Europe;rock shelter;-3.809;40.923;Navalmaíllo Level F lithic industry 2019;1;feature, miscellaneous finds, raw material, technology, typology;66603;83246;Navalmaíllo South Level F;miscellaneous finds, technology, typology, feature;Middle Paleolithic;Mousterian - Eurasia;21289
Abrigo de Navalmaíllo;Spain;Europe;Southern Europe;rock shelter;-3.809;40.923;Navalmaíllo Beta Layer Assemblage;2;feature, miscellaneous finds, raw material, technology, typology;0;66600;Navalmaíllo North Alpha-Beta layers;miscellaneous finds, feature;Middle Paleolithic;Middle Paleolithic - Eurasia;2835
Abrigo de la Quebrada;Spain;Europe;Southern Europe;rock shelter;-1.014;39.807;Level II - lithics;1;feature, raw material;42000;80000;Unit H;feature;Middle Paleolithic;Middle Paleolithic - Eurasia;3046
Abrigo de la Quebrada;Spain;Europe;Southern Europe;rock shelter;-1.014;39.807;Level III - lithics;2;feature, raw material;42000;80000;Unit H;feature;Middle Paleolithic;Middle Paleolithic - Eurasia;8498
Abrigo de la Quebrada;Spain;Europe;Southern Europe;rock shelter;-1.014;39.807;Level IV - lithics;3;feature, raw material, technology, typology;42000;80000;Unit G;typology, technology, feature;Middle Paleolithic;Middle Paleolithic - Eurasia;18936
Abrigo de la Quebrada;Spain;Europe;Southern Europe;rock shelter;-1.014;39.807;Level VIII - lithics;6;feature, raw material, technology, typology;80000#80000;116500#116500;Unit B#Unit C;typology, feature, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;522
Achenheim;France;Europe;Western Europe;quarry;7.625;48.579;level 14 (Wernert);3;raw material, technology, typology;71000;102500;Unit 14;typology, technology;Middle Paleolithic;Mousterian - Eurasia;64
Achenheim;France;Europe;Western Europe;quarry;7.625;48.579;level 15 (Wernert);4;technology, typology;116500;191000;Unit 15;typology, technology;Middle Paleolithic;Mousterian - Eurasia;51
Achenheim;France;Europe;Western Europe;quarry;7.625;48.579;level 16 (Wernert);5;raw material, technology, typology;130000;191000;Unit 16;technology, typology;Middle Paleolithic;Mousterian - Eurasia;12
Andance;France;Europe;Western Europe;open air;4.687;44.683;Unit 5 Lower Pedocomplex Archaeological Assemblage;1;raw material, typology, technology;86000;191000;Unit 5 Lower Pedocomplex;typology, technology;Middle Paleolithic;Mousterian - Eurasia;1596
Angé;France;Europe;Western Europe;open air;1.255;47.295;Mousterian Level 9;1;function, raw material, technology, typology;71000;116500;Unit 9;typology, function, technology;Middle Paleolithic;Charentian La Ferrassie;23544
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level V series rouge non-roulée (lithics);10;technology, typology;116500;130000;Unit 25;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;70
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level V series rouge roulée (lithics);11;raw material, technology, typology;116500;130000;Unit 25;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;176
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level 29 serie noire non-roulée (lithics);12;raw material, technology, typology;130000;191000;Unit 29;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;29
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level 30 serie noire roulée (lithics);13;raw material, technology, typology;130000;243000;Unit 30;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;118
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb3 (lithics);4;raw material, technology, typology;57000;116500;Unit 17;technology, typology;Middle Paleolithic;Charentian La Quina;898
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb4 (lithics);5;raw material, technology, typology;57000;116500;Unit 18;technology, typology;Middle Paleolithic;Charentian La Quina;199
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb5 (lithics);6;raw material, technology, typology;57000;116500;Unit 19;technology, typology;Middle Paleolithic;Mousterian - Eurasia;173
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb6 (lithics);7;human remains, raw material, technology, typology;57000;116500;Unit 20;technology, typology;Middle Paleolithic;Mousterian - Eurasia;393
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb7 (lithics);8;raw material, technology, typology;57000;116500;Unit 21;technology, typology;Middle Paleolithic;Mousterian - Eurasia;6
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level V series brune non-roulée (lithics);9;raw material, technology, typology;116500;130000;Unit 25;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;20
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit J occupation (lithics OLD);12;technology, typology;52000;63000;Unit J;technology, typology;Middle Paleolithic;Mousterian - Eurasia;33
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit J occupation (lithics NEW);13;feature, miscellaneous finds, organic tools, raw material, technology, typology;52000;63000;Unit J;feature, organic tools, miscellaneous finds, typology, technology;Middle Paleolithic;Mousterian - Eurasia;150
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer XIV occupation;12;raw material, technology, typology;45000;75000;Unit XIV;technology, typology;Middle Paleolithic;Mousterian - Eurasia;82
Ariendorf;Germany;Europe;Central Europe;open air;7.3;50.517;2 Artifacts;2;animal remains, raw material, technology, typology;121000;220000;Loess Bed II;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;37
Arlanpe;Spain;Europe;Southern Europe;cave;-2.763;43.193;Nivel 3 assemblage;1;raw material, technology, typology;70600;218529;Nivel 3;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;225
Arlanpe;Spain;Europe;Southern Europe;cave;-2.763;43.193;Nivel D assemblage;2;animal remains, function, organic tools, raw material, technology, typology;70600;218529;Nivel D;function, organic tools, typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;438
Arlanpe;Spain;Europe;Southern Europe;cave;-2.763;43.193;Nivel C assemblage;3;raw material, technology, typology;70600;218529;Nivel C;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;236
Arlanpe;Spain;Europe;Southern Europe;cave;-2.763;43.193;Nivel IV assemblage;4;raw material, technology, typology;70600;218529;Nivel IV;technology, typology;Middle Paleolithic;Middle Paleolithic - Eurasia;146
Arlanpe;Spain;Europe;Southern Europe;cave;-2.763;43.193;Nivel V assemblage;5;raw material, technology, typology;70600;218529;Nivel V;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;67
Arlanpe;Spain;Europe;Southern Europe;cave;-2.763;43.193;Nivel 4 assemblage;6;raw material, technology, typology;70600;218529;Nivel 4;typology, technology;Middle Paleolithic;Middle Paleolithic - Eurasia;102
