Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Human_remains_genus;Human_remains_species;Human_remains_age;Human_remains_sex
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 02;10;human remains;52000;70000;Layer B2;Homo;neanderthalensis;adult;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 03;11;human remains;52000;70000;Layer B2;Homo;neanderthalensis;infant;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 04;12;human remains;59000;81000;Layer B4;Homo;neanderthalensis;infant;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 05;13;human remains;46000#52000;61300#70000;Layer B1#Layer B2;Homo;neanderthalensis;infant;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 07;15;human remains;52000;70000;Layer B2;Homo;neanderthalensis;infant;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 08;16;human remains;46000;61300;Layer B1;Homo;neanderthalensis;juvenile;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 09;17;human remains;52000;70000;Layer B2;Homo;neanderthalensis;adult;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 10;18;human remains;52000;70000;Layer B2;Homo;neanderthalensis;infant;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 11;19;human remains;52000;70000;Layer B2;Homo;neanderthalensis;juvenile;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 12;20;human remains;52000;70000;Layer B2;Homo;neanderthalensis;infant;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 13;21;human remains;52000;70000;Layer B2;Homo;neanderthalensis;adult;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 16;24;human remains;46000;61300;Layer B1;Homo;neanderthalensis;infant;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 17;25;human remains;52000;70000;Layer B2;Homo;neanderthalensis;adult;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 18;26;human remains;52000;70000;Layer B2;Homo;neanderthalensis;infant;-
Amud Cave;Israel;Asia;Southwest Asia;cave;35.502;32.872;human remains 01;9;human remains;46000;61300;Layer B1;Homo;neanderthalensis;adult;-
Archi;Italy;Europe;Southern Europe;open air;15.66;38.14;human remains;1;human remains;40000;130000;C-3;Homo;neanderthalensis;juvenile;M
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit I human remains 01;18;human remains;40000;52000;Unit I;Homo;neanderthalensis;adult;-
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit I human remains 02;19;human remains;40000;52000;Unit I;Homo;neanderthalensis;adult;-
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit I human remains 03;20;human remains;40000;52000;Unit I;Homo;neanderthalensis;infant;-
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit I human remains 04;21;human remains;40000;52000;Unit I;Homo;neanderthalensis;infant;-
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Amk human remains;20;human remains;44500;46900;Amk;Homo;neanderthalensis;juvenile;-
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Axlor Nivel 3 human remains 1;18;human remains;40730;43290;Nivel 3;Homo;neanderthalensis;-;-
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Axlor Nivel 3 human remains 2;19;human remains;40730;43290;Nivel 3;Homo;neanderthalensis;-;-
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Axlor Nivel 3 human remains 3;20;human remains;40730;43290;Nivel 3;Homo;neanderthalensis;-;-
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Axlor Nivel 3 human remains 4;21;human remains;40730;43290;Nivel 3;Homo;neanderthalensis;-;-
Axlor;Spain;Europe;Southern Europe;rock shelter;-2.729;43.121;Axlor Nivel 3 human remains 5;22;human remains;40730;43290;Nivel 3;Homo;neanderthalensis;-;-
Azokh-1 Cave;Azerbaijan;Asia;Caucasus;cave;46.988;39.62;Azokh 1, human remains 02;4;human remains;0;197000;Unit II;Homo;neanderthalensis;-;-
Barakai;Russia;Asia;Central Asia;cave;40.6;44.2;Barakai Layer 2 human remains;1;human remains;24000;60000;Layer 2;Homo;neanderthalensis;infant;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer II human remains;10;human remains;71000;116000;Trench L Unit II;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer IV human remains 1;12;human remains;104000;116000;Trench L Unit IV;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer IV human remains 2;13;human remains;104000;116000;Trench L Unit IV;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer IV human remains 3;14;human remains;104000;116000;Trench L Unit IV;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer IV human remains 4;15;human remains;104000;116000;Trench L Unit IV;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer IV human remains 5;16;human remains;104000;116000;Trench L Unit IV;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer I-3 human remains;17;human remains;126000;191000;Lower Slope Unit I;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer I-2 human remains;18;human remains;126000;191000;Lower Slope Unit I;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer IV human remains 6;19;human remains;104000;116000;Trench L Unit IV;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier human remains 1;8;human remains;71000#71000#104000;116000#116000#116000;Trench L Unit II#Trench L Unit III#Trench L Unit IV;Homo;neanderthalensis;-;-
Bau de l Aubesier;France;Europe;Western Europe;rock shelter;5.338;44.045;Bau de l Aubesier layer IV human remains;9;human remains;104000;116000;Trench L Unit IV;Homo;neanderthalensis;-;-
Bawa Yawan;Iran;Asia;Southwest Asia;rock shelter;46.93;34.64;Bawa Yawan, human remains 01;2;human remains;37010;84000;GH5;Homo;neanderthalensis;-;-
Bolomor Cave;Spain;Europe;Southern Europe;cave;-0.25;39.059;Bolomor Cave level IV human remains 01;5;human remains;103000;130000;Nivel IV;Homo;neanderthalensis;-;-
Bolomor Cave;Spain;Europe;Southern Europe;cave;-0.25;39.059;Bolomor Cave level IV human remains 02;6;human remains;103000;130000;Nivel IV;Homo;neanderthalensis;infant;-
Bolomor Cave;Spain;Europe;Southern Europe;cave;-0.25;39.059;Bolomor Cave level IV human remains 03;7;human remains;103000;130000;Nivel IV;Homo;neanderthalensis;adult;-
Bolomor Cave;Spain;Europe;Southern Europe;cave;-0.25;39.059;Bolomor Cave level XIII human remains 04;8;human remains;129000;259000;Nivel XIII;Homo;neanderthalensis;infant;-
Bronze Cave;Georgia;Asia;Caucasus;cave;42.862;42.279;Bronze Cave human remains;5;human remains;40200;48900;Layer 18;Homo;neanderthalensis;infant;-
Carihuela;Spain;Europe;Southern Europe;cave;-3.43;37.449;Carihuela Unit VI human remains 01;5;human remains;42400;58800;Unit VI;Homo;neanderthalensis;adult;-
Carihuela;Spain;Europe;Southern Europe;cave;-3.43;37.449;Carihuela Unit VII human remains 01;6;human remains;63400;91000;Unit VII;Homo;neanderthalensis;adult;-
Carihuela;Spain;Europe;Southern Europe;cave;-3.43;37.449;Carihuela Unit VII human remains 02;7;human remains;63400;91000;Unit VII;Homo;neanderthalensis;juvenile;-
Carihuela;Spain;Europe;Southern Europe;cave;-3.43;37.449;Carihuela Unit VIII - XI human remains 02;9;human remains;63400#64200#82500;64200#84250#129880;Unit VIII#Unit X#Unit XI;Homo;neanderthalensis;-;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 09;10;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;-;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 10;11;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;-;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 11;12;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;adult;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 12;13;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;adult;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 14;15;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;adult;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 15;16;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;adult;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 16;17;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;juvenile;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 17;18;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;adult;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 18;19;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;adult;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 01;2;human remains;45191#45191;48999#52000;Stratum 6 c 2#Stratum 6 c 1;Homo;neanderthalensis;-;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 19;20;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;adult;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 20;21;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;adult;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 21;22;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;adult;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 22;23;human remains;33590;49000;Stratum 5;Homo;neanderthalensis;-;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 23;24;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;-;-
Chagyrskaya;Russia;Asia;Central Asia;cave;83.126;51.422;Chagyrskaya human remains 24;25;human remains;49000;52000;Stratum 6 b;Homo;neanderthalensis;-;-
