Locality;Country;Continent;Subcontinent;Locality_type;X;Y;Assemblage_name;Assemblage_id;Assemblage_category;Age_MIN;Age_MAX;Geolayer;Archaeological_category;Archaeological_culture;Technocomplex;Lithic_piece_number
Abri Caminade;France;Europe;Western Europe;rock shelter;1.249;44.868;Est Unit M3 Archaeological Assemblage;6;raw material, technology, typology;35700;300000;Est Unit M3;typology, technology;Middle Paleolithic;Mousterian - Eurasia;-1
Abri Caminade;France;Europe;Western Europe;rock shelter;1.249;44.868;Est Unit M2 Archaeological Assemblage;7;raw material, technology, typology;35700;300000;Est Unit M2;typology, technology;Middle Paleolithic;Mousterian - Eurasia;-1
Abri Caminade;France;Europe;Western Europe;rock shelter;1.249;44.868;Est Unit M1 Archaeological Assemblage;8;raw material, technology, typology;35700;300000;Est Unit M1;technology, typology;Middle Paleolithic;Mousterian - Eurasia;-1
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit A Archaeological Assemblage;1;raw material, technology, typology;30000;300000;Unit A;technology, typology;Middle Paleolithic;Mousterian - Eurasia;3316
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit A-B Archaeological Assemblage;2;raw material, technology, typology;30000;300000;Unit A-B;typology, technology;Middle Paleolithic;Mousterian - Eurasia;512
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit B Archaeological Assemblage;3;raw material, technology, typology;30000;300000;Unit B;technology, typology;Middle Paleolithic;Mousterian - Eurasia;332
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit C Archaeological Assemblage;4;organic tools, raw material, technology, typology;30000;300000;Unit C;typology, organic tools, technology;Middle Paleolithic;Mousterian - Eurasia;927
Abri Chadourne;France;Europe;Western Europe;rock shelter;1.016;44.936;Unit D Archaeological Assemblage;5;raw material, technology, typology;30000;300000;Unit D;technology, typology;Middle Paleolithic;Mousterian - Eurasia;174
Abri Pié Lombard;France;Europe;Western Europe;rock shelter;7.045;43.702;Mousterian (lithics);1;raw material, technology, typology;60000;115000;complex II;technology, typology;Middle Paleolithic;Mousterian - Eurasia;902
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level P (lithics);10;feature, raw material, technology, typology;53000;65000;Sequence V;feature, typology, technology;Middle Paleolithic;Mousterian - Eurasia;3375
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level Qa (lithics);11;feature;53000;65000;Sequence V;feature;Middle Paleolithic;Mousterian - Eurasia;8420
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level H (lithics);2;feature, organic tools, raw material, typology;37000;50000;Sequence II;feature, organic tools, typology;Middle Paleolithic;Mousterian - Eurasia;320
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level B (lithics);22;technology, typology;30000;48000;Sequence I;typology, technology;Middle Paleolithic;Mousterian - Eurasia;249
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level I (lithics);3;feature;37000;50000;Sequence II;feature;Middle Paleolithic;Mousterian - Eurasia;1388
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level Ja (lithics);4;feature, function, raw material, technology, typology;47000;52500;Sequence III;function, typology, feature, technology;Middle Paleolithic;Mousterian - Eurasia;15648
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level K (lithics);5;feature, raw material, technology, typology;47000;52500;Sequence III;feature, typology, technology;Middle Paleolithic;Mousterian - Eurasia;1794
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level L (lithics);6;feature, miscellaneous finds, raw material, technology, typology;50000;60000;Sequence IV;technology, miscellaneous finds, feature, typology;Middle Paleolithic;Mousterian - Eurasia;1190
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level M (lithics);7;feature, function, miscellaneous finds, raw material, technology, typology;50000;60000;Sequence IV;feature, miscellaneous finds, typology, technology, function;Middle Paleolithic;Mousterian - Eurasia;6083
Abric Romaní;Spain;Europe;Southern Europe;rock shelter;1.688;41.533;Level Oa (lithics);9;feature, raw material, technology, typology;53000;65000;Sequence V;feature, typology, technology;Middle Paleolithic;Mousterian - Eurasia;1486
Abrigo de Navalmaíllo;Spain;Europe;Southern Europe;rock shelter;-3.809;40.923;Navalmaíllo Level F lithic industry 2019;1;feature, miscellaneous finds, raw material, technology, typology;66603;83246;Navalmaíllo South Level F;miscellaneous finds, technology, typology, feature;Middle Paleolithic;Mousterian - Eurasia;21289
Achenheim;France;Europe;Western Europe;quarry;7.625;48.579;level 14 (Wernert);3;raw material, technology, typology;71000;102500;Unit 14;typology, technology;Middle Paleolithic;Mousterian - Eurasia;64
Achenheim;France;Europe;Western Europe;quarry;7.625;48.579;level 15 (Wernert);4;technology, typology;116500;191000;Unit 15;typology, technology;Middle Paleolithic;Mousterian - Eurasia;51
Achenheim;France;Europe;Western Europe;quarry;7.625;48.579;level 16 (Wernert);5;raw material, technology, typology;130000;191000;Unit 16;technology, typology;Middle Paleolithic;Mousterian - Eurasia;12
Andance;France;Europe;Western Europe;open air;4.687;44.683;Unit 5 Lower Pedocomplex Archaeological Assemblage;1;raw material, typology, technology;86000;191000;Unit 5 Lower Pedocomplex;typology, technology;Middle Paleolithic;Mousterian - Eurasia;1596
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb5 (lithics);6;raw material, technology, typology;57000;116500;Unit 19;technology, typology;Middle Paleolithic;Mousterian - Eurasia;173
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb6 (lithics);7;human remains, raw material, technology, typology;57000;116500;Unit 20;technology, typology;Middle Paleolithic;Mousterian - Eurasia;393
Arcy-sur-Cure - Grotte de l_Hyène;France;Europe;Western Europe;cave;3.763;47.591;level IVb7 (lithics);8;raw material, technology, typology;57000;116500;Unit 21;technology, typology;Middle Paleolithic;Mousterian - Eurasia;6
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit I occupation (lithics OLD);10;raw material, technology, typology;40000;52000;Unit I;technology, typology;Middle Paleolithic;Mousterian - Eurasia;162
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit I occupation (lithics NEW);11;raw material, technology, typology;40000;52000;Unit I;technology, typology;Middle Paleolithic;Mousterian - Eurasia;235
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit J occupation (lithics OLD);12;technology, typology;52000;63000;Unit J;technology, typology;Middle Paleolithic;Mousterian - Eurasia;33
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit J occupation (lithics NEW);13;feature, miscellaneous finds, organic tools, raw material, technology, typology;52000;63000;Unit J;feature, organic tools, miscellaneous finds, typology, technology;Middle Paleolithic;Mousterian - Eurasia;150
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit E occupation (lithics OLD);2;raw material, technology, typology;34000;40000;Unit E;typology, technology;Middle Paleolithic;Mousterian - Eurasia;153
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit E occupation (lithics NEW);3;raw material, technology, typology;34000;40000;Unit E;typology, technology;Middle Paleolithic;Mousterian - Eurasia;354
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit F occupation (lithics OLD);4;raw material, technology, typology;34000;40000;Unit F;typology, technology;Middle Paleolithic;Mousterian - Eurasia;225
Arcy-sur-Cure - Grotte du Bison;France;Europe;Western Europe;cave;3.762;47.59;Unit F occupation (lithics NEW);5;raw material, technology, typology;34000;40000;Unit F;typology, technology;Middle Paleolithic;Mousterian - Eurasia;527
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer XIII occupation;11;raw material, technology, typology;40000;45000;Unit XIII;technology, typology;Middle Paleolithic;Mousterian - Eurasia;160
Arcy-sur-Cure - Grotte du Renne;France;Europe;Western Europe;cave;3.762;47.591;Layer XIV occupation;12;raw material, technology, typology;45000;75000;Unit XIV;technology, typology;Middle Paleolithic;Mousterian - Eurasia;82
Arma delle Manie;Italy;Europe;Southern Europe;cave;8.376;44.199;Unit I-VII finds;1;raw material, technology, typology;42000#42000#42000#42000#42000#42000#51000;69000#69000#69000#69000#69000#69000#76900;Unit I#Unit II#Unit III#Unit IV#Unit V#Unit VI#Unit VII;typology, technology;Middle Paleolithic;Mousterian - Eurasia;8254
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Blm assemblage;1;raw material, technology, typology;46900;350000;Blm;typology, technology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Srk8 assemblage;10;typology;44500;44800;Srk8;typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Agp4 assemblage;11;feature, typology;44500;44800;Agp4;feature, typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Agp3 assemblage;12;typology;44500;44800;Agp3;typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Srk5 assemblage;13;typology;44500;44800;Srk5;typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Smk-l assemblage;14;feature, raw material, technology, typology;41400;44800;Smk-l;technology, typology, feature;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Smc assemblage;15;feature, organic tools, raw material, technology, typology;38100;41400;Smc;technology, feature, typology, organic tools;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Smb assemblage;16;organic tools, raw material, technology, typology;38100;41400;Smb;organic tools, typology, technology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Car assemblage;2;raw material, technology, typology;46900;350000;Car;technology, typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Clm assemblage;3;raw material, technology, typology;46900;350000;Clm;technology, typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Srk12 assemblage;4;typology;46900;350000;Srk12;typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Amk assemblage;5;feature, organic tools, raw material, technology, typology;44500;46900;Amk;feature, technology, typology, organic tools;Middle Paleolithic;Mousterian - Eurasia;8972
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;H-Amk assemblage;6;feature, typology;44500;44800;H-Amk;typology, feature;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Sa8 assemblage;7;feature, typology;44500;44800;Sa8;typology, feature;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Srk11 assemblage;8;typology;44500;44800;Srk11;typology;Middle Paleolithic;Mousterian - Eurasia;-1
Arrillor;Spain;Europe;Southern Europe;cave;-2.739;42.971;Srk9 assemblage;9;feature, typology;44500;44800;Srk9;typology, feature;Middle Paleolithic;Mousterian - Eurasia;-1
Artenac;France;Europe;Western Europe;cave;0.332;45.838;Unit 6c Archaeological Assemblage;1;organic tools, raw material, technology, typology;71000;126000;Unit 6;technology, organic tools, typology;Middle Paleolithic;Mousterian - Eurasia;2907
