"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","longitude","latitude","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage","millenium","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","centrank","Suit"
"Azokh-1 Cave","Azokh 1, human remains 02","Unit II","Azerbaijan","cave",46.98842,39.61997,"MP/ Mousterian - Eurasia",0,197000,"ESR (electron spin resonance) dating","",NA,NA,NA,107987,0.963571,108000,6.92006015777588,16.6821556091309,-1.86799681186676,21.9563522338867,-8.06583976745605,489.346099853516,179.226867675781,156.614791870117,14,3035,0.383023787940087
"Basura Cave","Basura CdO 1312","P2 SU3","Italy","cave",8.203028,44.139626,"",34959,50000,"14C (radiocarbon) dating","2",1,NA,NA,52315,1,52000,7.87489891052246,11.5108671188354,4.68453550338745,16.0097484588623,0.475844740867615,1065.58215332031,788.423767089844,364.093353271484,-1380669440,565,0.677138164263988
"Bau de l Aubesier","Bau de l Aubesier human remains 1","Trench L Unit IV","France","rock shelter",5.336539,44.043456,"MP/ Middle Paleolithic - Eurasia",104000,116000,"large mammal biostratigraphy, ESR (electron spin resonance) dating, U series (uranium-thorium) dating","5d",NA,NA,NA,108712,0.994949551,109000,7.96508932113647,13.2925710678101,3.24205303192139,16.8839778900146,0.302288472652435,751.134765625,467.945983886719,464.832397460938,10.9707355499268,372,0.671534116107145
"Bau de l Aubesier","Bau de l Aubesier Niveau IV fauna","Lower Slope Unit G","France","rock shelter",5.336539,44.043456,"MP/ Middle Paleolithic - Eurasia",71000,186000,"U series (uranium-thorium) dating, large mammal biostratigraphy","6-5a",NA,NA,NA,141138,0.994625357,141000,7.06955289840698,8.25908279418945,4.48459243774414,13.4711475372314,1.34987616539001,847.655700683594,756.776794433594,287.284271240234,8.66460990905762,123,0.719205169667967
"Bisnik Cave","Bisnik Cave layer 18 fauna","Layer 18","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",130000,200000,"geology, TL (thermoluminescence) dating","6",4111,4102,NA,125428,0.53582076,125000,8.37831974029541,18.0054149627686,4.0445351600647,20.2772769927979,-1.33114004135132,672.622924804688,375.159606933594,551.017761230469,6,1810,0.572862484389678
"Bisnik Cave","Bisnik Cave layer 14 fauna","Layer 14","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",115000,126000,"geology, TL (thermoluminescence) dating","5e",594,574,NA,56003,0.767268808,56000,1.41460287570953,9.35164833068848,-5.35118675231934,13.2836847305298,-9.8892936706543,574.833618164062,259.051025390625,371.661224365234,9.76957893371582,4362,0.309610228542552
"Bisnik Cave","Bisnik Cave layer 13 fauna","Layer 13","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",110000,126000,"geology, TL (thermoluminescence) dating","5e-5d",1442,1438,NA,63410,0.999225365,63000,-1.31525027751923,6.64184236526489,-8.99609088897705,10.592321395874,-13.3207063674927,550.430358886719,198.400909423828,316.258514404297,10.4817962646484,5238,0.138802470003535
"Bisnik Cave","Bisnik Cave layer 12 fauna","Layer 12","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",110000,115000,"geology, OSL (optically stimulated thermoluminescence) dating, TL (thermoluminescence) dating","5d",478,464,NA,91109,0.997954685,91000,2.86248159408569,8.52380466461182,-4.70730972290039,13.3531618118286,-9.10041999816895,611.857360839844,290.066619873047,465.873931884766,9,4020,0.405245158784572
"Bisnik Cave","Bisnik Cave layer 11 fauna","Layer 11","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",90000,110000,"geology, TL (thermoluminescence) dating","5c",177,165,NA,66000,1,66000,-1.51931130886078,4.66082525253296,-9.00241565704346,9.25704383850098,-13.2281074523926,555.508361816406,209.948211669922,295.154418945312,10,5420,0.132086623866874
"Bisnik Cave","Bisnik Cave layer 9 fauna","Layer 9","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",70000,90000,"geology, TL (thermoluminescence) dating","5a",315,309,NA,95915,0.999729044,96000,5.84772539138794,9.08065509796143,0.896845519542694,14.7771301269531,-3.78451061248779,649.0146484375,381.453948974609,508.166076660156,7,2576,0.543578091407933
