"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage","millenium","bio01","bio05","bio06","bio10","bio11","bio12","bio19","npp","biome","centrank","Suit"
"Abric Romaní","Level J Macromammal Fauna","Sequence III","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",47000,52500,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",51597,1,52000,10.3115491867065,18.440279006958,4.13626718521118,17.5479927062988,4.57065153121948,624.054382324219,110.882957458496,345.00244140625,-98336760,NA,NA
"Abric Romaní","Level N, micromammals","Sequence V","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",53000,65000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","4-3","","","-",55029,1,55000,10.1577548980713,18.7342109680176,3.91516780853271,17.5659160614014,4.31377792358398,608.524230957031,109.870170593262,328.220458984375,-98336760,NA,NA
"Ararat-1 Cave","Unit 4, Fauna","Unit 4","Armenia","cave",44.77,39.85,"",48800,56000,"OSL (optically stimulated thermoluminescence) dating","3","9","-","-",52400,1,52000,6.3214054107666,21.7900524139404,-10.4819746017456,19.9722785949707,-8.82329750061035,304.336456298828,29.4105987548828,68.4970321655273,13.7770376205444,NA,NA
"Arma delle Manie","Fauna","Unit VII","Italy","cave",8.375594,44.198639,"MP/ Mousterian - Eurasia",51000,76900,"ESR (electron spin resonance) dating, geology (based on position of layers), biostratigraphy (small mammal)","4","1897","-","-",60000,0.999995595174642,60000,7.01245403289795,17.7175178527832,-1.49780368804932,15.9988842010498,-0.955615639686584,1011.51239013672,290.332366943359,364.325714111328,-586696704,NA,NA
"Azokh-1 Cave","Azokh 1, human remains 02","Unit II","Azerbaijan","cave",46.98842,39.61997,"MP/ Mousterian - Eurasia",0,197000,"ESR (electron spin resonance) dating","-","-","-","-",107987,0.963571000053457,108000,6.92006015777588,24.2665634155273,-9.59709739685059,21.9563522338867,-8.06583976745605,489.346099853516,44.8067169189453,156.614791870117,14,NA,NA
"Basura Cave","Basura CdO 1312","P2 SU3","Italy","cave",8.203028,44.139626,"",34959,50000,"14C (radiocarbon) dating","2","1","-","-",52315,1,52000,7.87489891052246,17.1467990875244,-0.163136020302773,16.0097484588623,0.475844740867615,1065.58215332031,295.226623535156,364.093353271484,-1380669440,NA,NA
"Bau de l Aubesier","Bau de l Aubesier human remains 1","Trench L Unit IV","France","rock shelter",5.337778,44.044722,"MP/ Middle Paleolithic - Eurasia",104000,116000,"biostratigraphy (large mammal), ESR (electron spin resonance) dating, U series (uranium-thorium) dating","5d","-","-","-",108712,0.994949550698134,109000,7.96508932113647,18.7636947631836,-0.0231792684644461,16.8839778900146,0.302288472652435,751.134765625,217.665496826172,464.832397460938,10.9707355499268,NA,NA
"Bau de l Aubesier","Bau de l Aubesier Niveau IV fauna","Lower Slope Unit G","France","rock shelter",5.337778,44.044722,"MP/ Middle Paleolithic - Eurasia",71000,186000,"U series (uranium-thorium) dating, biostratigraphy (large mammal)","6-5a","","","-",141138,0.994625356981097,141000,7.06955289840698,14.3599414825439,1.07508087158203,13.4711475372314,1.34987616539001,847.655700683594,238.853805541992,287.284271240234,8.66460990905762,NA,NA
"Benzu Rockshelter","Rockshelter Macro-Mammal Fauna","Unit 7","Spain","cave",-5.379458,35.912047,"MP/ Mousterian - Levant",70000,179000,"geology (based on position of layers)","-","","-","-",74900,0.999999999999876,75000,14.4960794448853,21.1596984863281,10.5054454803467,20.144702911377,10.7415971755981,671.311157226562,273.363525390625,424.804351806641,-1160397184,NA,NA
"Bisnik Cave","Bisnik Cave layer 18 fauna","Layer 18","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",130000,200000,"geology (based on position of layers), TL (thermoluminescence) dating","6","4111","4102","-",125428,0.535820760035346,125000,8.37831974029541,22.9764003753662,-2.61888670921326,20.2772769927979,-1.33114004135132,672.622924804688,99.3165588378906,551.017761230469,6,NA,NA
"Bisnik Cave","Bisnik Cave layer 14 fauna","Layer 14","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",115000,126000,"geology (based on position of layers), TL (thermoluminescence) dating","5e","594","574","-",56003,0.767268807919805,56000,1.41460287570953,14.331488609314,-11.0924053192139,13.2836847305298,-9.8892936706543,574.833618164062,65.1515579223633,371.661224365234,9.76957893371582,NA,NA
"Bisnik Cave","Bisnik Cave layer 13 fauna","Layer 13","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",110000,126000,"geology (based on position of layers), TL (thermoluminescence) dating","5e-5d","1442","1438","-",63410,0.999225364825337,63000,-1.31525027751923,11.6108684539795,-14.3937683105469,10.592321395874,-13.3207063674927,550.430358886719,50.5677452087402,316.258514404297,10.4817962646484,NA,NA
"Bisnik Cave","Bisnik Cave layer 12 fauna","Layer 12","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",110000,115000,"geology (based on position of layers), OSL (optically stimulated thermoluminescence) dating, TL (thermoluminescence) dating","5d","478","464","-",91109,0.997954684776548,91000,2.86248159408569,13.5001773834229,-10.6736164093018,13.3531618118286,-9.10041999816895,611.857360839844,72.5166549682617,465.873931884766,9,NA,NA
"Bisnik Cave","Bisnik Cave layer 11 fauna","Layer 11","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",90000,110000,"geology (based on position of layers), TL (thermoluminescence) dating","5c","177","165","-",66000,1,66000,-1.51931130886078,9.73549175262451,-14.2825803756714,9.25704383850098,-13.2281074523926,555.508361816406,53.3079376220703,295.154418945312,10,NA,NA
"Bisnik Cave","Bisnik Cave layer 9 fauna","Layer 9","Poland","cave",19.665,50.426389,"MP/ Middle Paleolithic - Eurasia",70000,90000,"geology (based on position of layers), TL (thermoluminescence) dating","5a","315","309","-",95915,0.999729043855302,96000,5.84772539138794,16.7129592895508,-5.19492244720459,14.7771301269531,-3.78451061248779,649.0146484375,101.881469726562,508.166076660156,7,NA,NA
"Bisnik Cave","Bisnik Cave layer 8 fauna","Layer 8","Poland","cave",19.665,50.426389,"MP/ Micoquian",60000,74000,"geology (based on position of layers), TL (thermoluminescence) dating","4","1293","1276","-",106759,0.999929507344332,107000,2.43827199935913,17.6201000213623,-10.2181034088135,15.130202293396,-9.09108734130859,591.354675292969,62.272876739502,453.441772460938,8.97740268707275,NA,NA
"Bojnice III Cave Moat","Bojnice III Cave Moat Cultural Layer VIII mammal fauna","Travertine 8","Slovakia","open air",18.577762,48.780333,"MP/ Middle Paleolithic - Eurasia",95000,115000,"biostratigraphy (mollusc), biostratigraphy (large mammal), macrobotanical remains","5d-5c","","-","-",105000,1,105000,2.78432202339172,17.8792686462402,-9.29884624481201,15.2974557876587,-8.17555618286133,805.413757324219,148.376235961914,434.576171875,8.34011840820312,NA,NA
"Bollschweil","Bollschweil fauna","GE-1","Germany","open air",7.778593,47.932644,"MP/ Middle Paleolithic - Eurasia",81000,163000,"ESR (electron spin resonance) dating, geology (based on position of layers)","6-5","299","-","-",105888,0.987557946874067,106000,5.50710916519165,17.6528167724609,-3.65457701683044,15.3349580764771,-3.10987734794617,899.8076171875,158.462783813477,520.055908203125,7.93848037719727,NA,NA
"Bollschweil","Bollschweil fauna","GE-2","Germany","open air",7.778593,47.932644,"MP/ Middle Paleolithic - Eurasia",81000,163000,"ESR (electron spin resonance) dating, geology (based on position of layers)","6-5","299","-","-",113255,0.975115994780412,113000,6.16105985641479,13.191593170166,-2.22653913497925,12.718976020813,-1.53909468650818,944.929443359375,171.975402832031,532.6650390625,7.54638719558716,NA,NA
"Bolomor Cave","Bolomor Cave, Level II, Micromammals","Nivel II","Spain","cave",-0.2498,39.0594,"MP/ Middle Paleolithic - Eurasia",103000,130000,"TL (thermoluminescence) dating, AAR (amino acid racemization) dating","5","","","-",121000,0.999994294114696,121000,16.1571006774902,26.0978660583496,9.85018539428711,24.5824546813965,10.2226505279541,412.819274902344,85.9900970458984,380.77783203125,-289371936,NA,NA
