"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"1","Abri Blanchard des Roches","Sector 4/5 Fauna","Sector 4/5 Unit A","-","-","-"
"2","Abri Castanet","Exc. Peyrony Unit A fauna","Exc. Peyrony Unit A","-","-","-"
"3","Abri Castanet","Exc. Peyrony Unit C fauna","Exc. Peyrony Unit C","-","-","-"
"4","Abri Castanet","Exc. Peyrony Unit C microfauna","Exc. Peyrony Unit C","-","-","-"
"5","Abri Cellier","Unit A fauna","Unit A","-","-","-"
"6","Abri Cellier","Unit C fauna","Unit C","-","-","-"
"7","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","-","-","-"
"8","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","-","-","-"
"9","Abri Pataud","Abri Pataud Level 4 fauna","Level 4","-","-","-"
"10","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","-","-","-"
"11","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","-","-","-"
"12","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","-","-","-"
"13","Abri Pataud","Abri Pataud Level 8 fauna","Level 8","-","-","-"
"14","Abri Pataud","Abri Pataud Level 9 fauna","Level 9","-","-","-"
"15","Abri Pataud","Abri Pataud Level 10 fauna","Level 10","-","-","-"
"16","Abri Pataud","Abri Pataud Level 11 fauna","Level 11","-","-","-"
"17","Abri Pataud","Abri Pataud Level 12 fauna","Level 12","-","-","-"
"18","Abri Pataud","Abri Pataud Level 13 fauna","Level 13","-","-","-"
"19","Abri Pataud","Abri Pataud Level 14 fauna","Level 14","-","-","-"
"20","Abri Pataud","Abri Pataud Eboulis 5/6 fauna","Eboulis 5/6","-","-","-"
"21","Abri Pataud","Abri Pataud Eboulis 6/7 fauna","Eboulis 6/7","-","-","-"
"22","Abri Pataud","Abri Pataud Eboulis 7/8 fauna","Eboulis 7/8","-","-","-"
"23","Abri Pataud","Abri Pataud Eboulis 8/9 fauna","Eboulis 8/9","-","-","-"
"24","Abri Pataud","Abri Pataud Eboulis 10/11 fauna","Eboulis 10/11","-","-","-"
"25","Abri Pataud","Abri Pataud Eboulis 11/12 fauna","Eboulis 11/12","-","-","-"
"26","Abri Pataud","Abri Pataud Eboulis 12/13 fauna","Eboulis 12/13","-","-","-"
"27","Abri Pataud","Abri Pataud Eboulis 13/14 fauna","Eboulis 13/14","-","-","-"
"28","Abri du Facteur","Unit 10 Fauna","Unit 10","-","-","-"
"29","Abri du Facteur","Unit 15 Fauna","Unit 15","-","-","-"
"30","Abri du Facteur","Unit 16 & 17 Fauna","Unit 16","-","-","-"
"31","Abri du Facteur","Unit 16 & 17 Fauna","Unit 17","-","-","-"
"32","Abri du Facteur","Unit 19 Fauna","Unit 17","-","-","-"
"33","Abri du Facteur","Unit 21 Fauna","Unit 17","-","-","-"
"34","Abric Romaní","Level A Macromammal Fauna","Sequence I","36740","920","14C (radiocarbon) dating"
"36","Abric Romaní","Level A Macromammal Fauna","Sequence I","37290","990","14C (radiocarbon) dating"
"38","Abric Romaní","Level A Macromammal Fauna","Sequence I","35400","810","14C (radiocarbon) dating"
"40","Abric Romaní","Level A Macromammal Fauna","Sequence I","37900","1000","14C (radiocarbon) dating"
"42","Abric Romaní","Level A Macromammal Fauna","Sequence I","28440","650","14C (radiocarbon) dating"
"44","Abric Romaní","Level A Macromammal Fauna","Sequence I","23160","490","14C (radiocarbon) dating"
"46","Abric Romaní","Level A Macromammal Fauna","Sequence I","36950","460","14C (radiocarbon) dating"
"48","Abric Romaní","Level A Macromammal Fauna","Sequence I","20680","110","14C (radiocarbon) dating"
"50","Abric Romaní","Level A Macromammal Fauna","Sequence I","20190","75","14C (radiocarbon) dating"
"52","Abric Romaní","Level A Macromammal Fauna","Sequence I","21155","80","14C (radiocarbon) dating"
"54","Abric Romaní","Level A Macromammal Fauna","Sequence I","20295","75","14C (radiocarbon) dating"
"56","Abric Romaní","Level A Macromammal Fauna","Sequence I","35900","600","14C (radiocarbon) dating"
"58","Abric Romaní","Level A Macromammal Fauna","Sequence I","36490","230","14C (radiocarbon) dating"
"60","Abric Romaní","Level A Macromammal Fauna","Sequence I","25010","120","14C (radiocarbon) dating"
"62","Abric Romaní","Level A Macromammal Fauna","Sequence I","36300","1300","14C (radiocarbon) dating"
"64","Abric Romaní","Level A Macromammal Fauna","Sequence I","35000","500","14C (radiocarbon) dating"
"66","Abric Romaní","Level A Macromammal Fauna","Sequence I","42900","1600","U series (uranium-thorium) dating"
"68","Abric Romaní","Level A Macromammal Fauna","Sequence I","39400","1500","U series (uranium-thorium) dating"
"70","Abric Romaní","Level A Macromammal Fauna","Sequence I","43800","1500","U series (uranium-thorium) dating"
"72","Abric Romaní","Level A Macromammal Fauna","Sequence I","39100","1500","U series (uranium-thorium) dating"
"74","Abric Romaní","Level A Macromammal Fauna","Sequence I","40800","1300","U series (uranium-thorium) dating"
"76","Abric Romaní","Level A Macromammal Fauna","Sequence I","45100","1000","U series (uranium-thorium) dating"
"78","Abric Romaní","Level A Macromammal Fauna","Sequence I","45500","1300","U series (uranium-thorium) dating"
"80","Abric Romaní","Level A Macromammal Fauna","Sequence I","48600","400","U series (uranium-thorium) dating"
"82","Abric Romaní","Level A Macromammal Fauna","Sequence I","46100","1300","U series (uranium-thorium) dating"
"84","Abric Romaní","Level A Macromammal Fauna","Sequence I","42600","1100","U series (uranium-thorium) dating"
"86","Abric Romaní","Level A Macromammal Fauna","Sequence I","41500","2000","U series (uranium-thorium) dating"
"88","Abric Romaní","Level A Macromammal Fauna","Sequence I","35400","800","14C (radiocarbon) dating"
"90","Abric Romaní","Level A Macromammal Fauna","Sequence I","37200","900","14C (radiocarbon) dating"
"92","Abric Romaní","Level A Macromammal Fauna","Sequence I","37900","1000","14C (radiocarbon) dating"
"94","Abric Romaní","Level A Macromammal Fauna","Sequence I","40700","600","U series (uranium-thorium) dating"
"96","Abric Romaní","Level A Macromammal Fauna","Sequence I","41000","300","U series (uranium-thorium) dating"
"98","Abric Romaní","Level A Macromammal Fauna","Sequence I","41300","300","U series (uranium-thorium) dating"
"100","Abric Romaní","Level A Macromammal Fauna","Sequence I","41300","400","U series (uranium-thorium) dating"
"102","Abric Romaní","Level A Macromammal Fauna","Sequence I","42100","300","U series (uranium-thorium) dating"
"104","Abric Romaní","Level A Macromammal Fauna","Sequence I","42300","300","U series (uranium-thorium) dating"
"106","Abric Romaní","Level A Macromammal Fauna","Sequence I","42500","200","U series (uranium-thorium) dating"
"108","Abric Romaní","Level A Macromammal Fauna","Sequence I","42600","300","U series (uranium-thorium) dating"
"110","Abric Romaní","Level A Macromammal Fauna","Sequence I","42600","400","U series (uranium-thorium) dating"
"112","Abric Romaní","Level A Macromammal Fauna","Sequence I","42700","200","U series (uranium-thorium) dating"
"114","Abric Romaní","Level A Macromammal Fauna","Sequence I","43000","800","U series (uranium-thorium) dating"
"116","Abric Romaní","Level A Macromammal Fauna","Sequence I","43100","1200","U series (uranium-thorium) dating"
"118","Abric Romaní","Level A Macromammal Fauna","Sequence I","44400","300","U series (uranium-thorium) dating"
"120","Abric Romaní","Level A Macromammal Fauna","Sequence I","45700","1300","U series (uranium-thorium) dating"
"122","Abric Romaní","Level A Macromammal Fauna","Sequence I","45900","1300","U series (uranium-thorium) dating"
"124","Abric Romaní","Level A Macromammal Fauna","Sequence I","47100","300","U series (uranium-thorium) dating"
"126","Abric Romaní","Level A Macromammal Fauna","Sequence I","52300","400","U series (uranium-thorium) dating"
"128","Abric Romaní","Level A Macromammal Fauna","Sequence I","56800","800","U series (uranium-thorium) dating"
"130","Abric Romaní","Level A Macromammal Fauna","Sequence I","44900","2500","U series (uranium-thorium) dating"
"132","Abric Romaní","Level A Macromammal Fauna","Sequence I","44600","1500","U series (uranium-thorium) dating"
