"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"1","Abri Blanchard des Roches","Sector 4/5 Fauna","Sector 4/5 Unit A","-","-","-"
"2","Abri Castanet","Exc. Peyrony Unit A fauna","Exc. Peyrony Unit A","-","-","-"
"3","Abri Castanet","Exc. Peyrony Unit C fauna","Exc. Peyrony Unit C","-","-","-"
"4","Abri Castanet","Exc. Peyrony Unit C microfauna","Exc. Peyrony Unit C","-","-","-"
"5","Abri Cellier","Unit A fauna","Unit A","-","-","-"
"6","Abri Cellier","Unit C fauna","Unit C","-","-","-"
"7","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","-","-","-"
"8","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","-","-","-"
"9","Abri Pataud","Abri Pataud Level 4 fauna","Level 4","-","-","-"
"10","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","-","-","-"
"11","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","-","-","-"
"12","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","-","-","-"
"13","Abri Pataud","Abri Pataud Level 8 fauna","Level 8","-","-","-"
"14","Abri Pataud","Abri Pataud Level 9 fauna","Level 9","-","-","-"
"15","Abri Pataud","Abri Pataud Level 10 fauna","Level 10","-","-","-"
"16","Abri Pataud","Abri Pataud Level 11 fauna","Level 11","-","-","-"
"17","Abri Pataud","Abri Pataud Level 12 fauna","Level 12","-","-","-"
"18","Abri Pataud","Abri Pataud Level 13 fauna","Level 13","-","-","-"
"19","Abri Pataud","Abri Pataud Level 14 fauna","Level 14","-","-","-"
"20","Abri Pataud","Abri Pataud Eboulis 5/6 fauna","Eboulis 5/6","-","-","-"
"21","Abri Pataud","Abri Pataud Eboulis 6/7 fauna","Eboulis 6/7","-","-","-"
"22","Abri Pataud","Abri Pataud Eboulis 7/8 fauna","Eboulis 7/8","-","-","-"
"23","Abri Pataud","Abri Pataud Eboulis 8/9 fauna","Eboulis 8/9","-","-","-"
"24","Abri Pataud","Abri Pataud Eboulis 10/11 fauna","Eboulis 10/11","-","-","-"
"25","Abri Pataud","Abri Pataud Eboulis 11/12 fauna","Eboulis 11/12","-","-","-"
"26","Abri Pataud","Abri Pataud Eboulis 12/13 fauna","Eboulis 12/13","-","-","-"
"27","Abri Pataud","Abri Pataud Eboulis 13/14 fauna","Eboulis 13/14","-","-","-"
"28","Abri du Facteur","Unit 10 Fauna","Unit 10","-","-","-"
"29","Abri du Facteur","Unit 15 Fauna","Unit 15","-","-","-"
"30","Abri du Facteur","Unit 16 & 17 Fauna","Unit 16","-","-","-"
"31","Abri du Facteur","Unit 16 & 17 Fauna","Unit 17","-","-","-"
"32","Abri du Facteur","Unit 19 Fauna","Unit 17","-","-","-"
"33","Abri du Facteur","Unit 21 Fauna","Unit 17","-","-","-"
"34","Abric Romaní","Level A Macromammal Fauna","Sequence I","-","-","-"
"35","Abric Romaní","Level B Macromammal Fauna","Sequence I","-","-","-"
"36","Abric Romaní","Level C Macromammal Fauna","Sequence I","-","-","-"
"37","Abric Romaní","Level D Macromammal Fauna","Sequence I","-","-","-"
"38","Abric Romaní","Level E Macromammal Fauna","Sequence II","-","-","-"
"39","Abric Romaní","Level F Macromammal Fauna","Sequence II","-","-","-"
"40","Abric Romaní","Level G Macromammal Fauna","Sequence II","-","-","-"
"41","Abric Romaní","Level H Macromammal Fauna","Sequence II","-","-","-"
"42","Abric Romaní","Level I Macromammal Fauna","Sequence II","-","-","-"
"43","Abric Romaní","Level J Macromammal Fauna","Sequence III","-","-","-"
"44","Abric Romaní","Level D, micromammals","Sequence I","-","-","-"
"45","Abric Romaní","Level E, micromammals","Sequence II","-","-","-"
"46","Abric Romaní","Level J, micromammals","Sequence III","-","-","-"
"47","Abric Romaní","Level N, micromammals","Sequence V","-","-","-"
"48","Abric Romaní","Level O, micromammals","Sequence V","-","-","-"
"49","Abrigo de la Malia","LU-V Macromammal Fauna","LU-V","-","-","-"
"50","Abrigo de la Malia","LU-IVa Macromammal Fauna","LU-IVa","-","-","-"
"51","Abrigo de la Malia","LU-IVb Macromammal Fauna","LU-IVb","-","-","-"
"52","Abrigo de la Malia","LU-IVb Micromammal Fauna","LU-IVb","-","-","-"
"53","Abrigo de la Malia","LU-IVa Micromammal Fauna","LU-IVa","-","-","-"
"54","Abrigo de la Malia","LU-V Micromammal Fauna","LU-V","-","-","-"
"55","Achenheim","Loess recent, Fauna","Lower recent loess","-","-","-"
"56","Achenheim","Loess recent, Fauna","Upper recent loess","-","-","-"
"57","Achenheim","Loess recent, Micromammals","Lower recent loess","-","-","-"
"58","Achenheim","Loess recent, Micromammals","Upper recent loess","-","-","-"
"59","Achenheim","Loess ancien sup., Fauna","Upper ancient loess","-","-","-"
"60","Achenheim","Loess ancien sup., Micromammals","Upper ancient loess","-","-","-"
"61","Aghitu-3 Cave","Fauna Layer AH III","GH 3","-","-","-"
"62","Aghitu-3 Cave","Fauna Layer AH IV","GH 4","-","-","-"
"63","Aghitu-3 Cave","Fauna Layer AH IV","GH 5","-","-","-"
"64","Aghitu-3 Cave","Fauna Layer AH IV","GH 6","-","-","-"
"65","Aghitu-3 Cave","Fauna Layer AH IV","GH 7","-","-","-"
"66","Aghitu-3 Cave","Fauna Layer AH V","GH 8","-","-","-"
"67","Aghitu-3 Cave","Fauna Layer AH VI","GH 10","-","-","-"
"68","Aghitu-3 Cave","Fauna Layer AH VII","GH 11","-","-","-"
"69","Al Wusta","Archaeological horizon assemblage","Unit 3a","-","-","-"
"70","Al Wusta","Archaeological horizon assemblage","Unit 3b","-","-","-"
"71","Al Wusta","AW, Unit 3-2, Fauna","Unit 2","-","-","-"
"72","Al Wusta","AW, Unit 3-2, Fauna","Unit 3a","-","-","-"
"73","Al Wusta","AW, Unit 3-2, Fauna","Unit 3b","-","-","-"
"74","Al Wusta","AW, Unit 3-2, micromammals","Unit 2","-","-","-"
"75","Al Wusta","AW, Unit 3-2, micromammals","Unit 3a","-","-","-"
"76","Al Wusta","AW, Unit 3-2, micromammals","Unit 3b","-","-","-"
"77","Alberndorf I","Fauna","Layer 4","-","-","-"
"78","Altamura","Surface Level Macromammal Fauna","Surface Level","-","-","-"
"79","Altamura","Surface Level Micromammal Fauna","Surface Level","-","-","-"
"80","Amud Cave","B1, Fauna","Layer B1","-","-","-"
"81","Amud Cave","B2, Fauna","Layer B2","-","-","-"
"82","Amud Cave","B1, micromammals","Layer B1","-","-","-"
"83","Amud Cave","B2, micromammals","Layer B2","-","-","-"
"84","Amud Cave","B4, micromammals","Layer B4","-","-","-"
"85","Amud Cave","human remains 01","Layer B1","-","-","-"
"86","Amud Cave","human remains 02","Layer B2","-","-","-"
"87","Amud Cave","human remains 03","Layer B2","-","-","-"
"88","Amud Cave","human remains 04","Layer B4","-","-","-"
"89","Amud Cave","human remains 05","Layer B1","-","-","-"
"90","Amud Cave","human remains 05","Layer B2","-","-","-"
"91","Amud Cave","human remains 07","Layer B2","-","-","-"
"92","Amud Cave","human remains 08","Layer B1","-","-","-"
"93","Amud Cave","human remains 09","Layer B2","-","-","-"
"94","Amud Cave","human remains 10","Layer B2","-","-","-"
"95","Amud Cave","human remains 11","Layer B2","-","-","-"
"96","Amud Cave","human remains 12","Layer B2","-","-","-"
"97","Amud Cave","human remains 13","Layer B2","-","-","-"
"98","Amud Cave","human remains 16","Layer B1","-","-","-"
"99","Amud Cave","human remains 17","Layer B2","-","-","-"
"100","Amud Cave","human remains 18","Layer B2","-","-","-"
"101","Antu","Layer 1 fauna","Layer 1","-","-","-"
"102","Antu","Layer 2 fauna","Layer 2","-","-","-"
"103","Antu","Layer 3 fauna","Layer 3","-","-","-"
"104","Antu","Layer 4 fauna","Layer 4","-","-","-"
"105","Apidima Cave Gamma","Fauna","Cave breccia","-","-","-"
