"","Locality","Assemblage.name","GeoLayer","Age","Pos..standard.deviation","Dating.method"
"1","Abri Blanchard des Roches","Sector 4/5 Fauna","Sector 4/5 Unit A","-","-","-"
"2","Abri Castanet","Exc. Peyrony Unit A fauna","Exc. Peyrony Unit A","-","-","-"
"3","Abri Castanet","Exc. Peyrony Unit C fauna","Exc. Peyrony Unit C","-","-","-"
"4","Abri Castanet","Exc. Peyrony Unit C microfauna","Exc. Peyrony Unit C","-","-","-"
"5","Abri Cellier","Unit A fauna","Unit A","33600","550","14C (radiocarbon) dating"
"6","Abri Cellier","Unit C fauna","Unit C","32450","450","14C (radiocarbon) dating"
"7","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","20960","220","14C (radiocarbon) dating"
"9","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","20780","170","14C (radiocarbon) dating"
"11","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","21940","250","14C (radiocarbon) dating"
"13","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","19300","170","14C (radiocarbon) dating"
"15","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","20540","140","14C (radiocarbon) dating"
"17","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","20340","200","14C (radiocarbon) dating"
"19","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","19780","170","14C (radiocarbon) dating"
"21","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","19650","300","14C (radiocarbon) dating"
"23","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","20810","170","14C (radiocarbon) dating"
"25","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","21380","340","14C (radiocarbon) dating"
"27","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","22000","600","14C (radiocarbon) dating"
"28","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","18470","280","14C (radiocarbon) dating"
"30","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","21540","160","14C (radiocarbon) dating"
"32","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","22780","140","14C (radiocarbon) dating"
"34","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","23010","170","14C (radiocarbon) dating"
"36","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","23180","670","14C (radiocarbon) dating"
"38","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","24250","750","14C (radiocarbon) dating"
"40","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","24440","740","14C (radiocarbon) dating"
"42","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","21740","450","14C (radiocarbon) dating"
"44","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","24500","600","14C (radiocarbon) dating"
"45","Abri Pataud","Abri Pataud Level 4 fauna","Level 4","27060","370","14C (radiocarbon) dating"
"47","Abri Pataud","Abri Pataud Level 4 fauna","Level 4","26900","1000","14C (radiocarbon) dating"
"49","Abri Pataud","Abri Pataud Level 4 fauna","Level 4","26500","980","14C (radiocarbon) dating"
"51","Abri Pataud","Abri Pataud Level 4 fauna","Level 4","26300","900","14C (radiocarbon) dating"
"52","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","26720","460","14C (radiocarbon) dating"
"54","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","27545","320","14C (radiocarbon) dating"
"56","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","25815","330","14C (radiocarbon) dating"
"58","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","26340","450","14C (radiocarbon) dating"
"60","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","26600","200","14C (radiocarbon) dating"
"62","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","21780","215","14C (radiocarbon) dating"
"64","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","28150","225","14C (radiocarbon) dating"
"66","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","27660","260","14C (radiocarbon) dating"
"68","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","23350","170","14C (radiocarbon) dating"
"70","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","26050","310","14C (radiocarbon) dating"
"72","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","23800","800","14C (radiocarbon) dating"
"74","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","22000","1000","14C (radiocarbon) dating"
"76","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","28400","1100","14C (radiocarbon) dating"
"78","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","28230","290","14C (radiocarbon) dating"
"80","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","28150","290","14C (radiocarbon) dating"
"82","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","28250","280","14C (radiocarbon) dating"
"84","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","28180","270","14C (radiocarbon) dating"
"86","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","26780","280","14C (radiocarbon) dating"
"88","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","26000","1000","14C (radiocarbon) dating"
"90","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","23600","800","14C (radiocarbon) dating"
"92","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","24000","1000","14C (radiocarbon) dating"
"93","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","31250","400","14C (radiocarbon) dating"
"95","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","31200","400","14C (radiocarbon) dating"
"97","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","31850","450","14C (radiocarbon) dating"
"99","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","24340","700","14C (radiocarbon) dating"
"101","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","19700","350","14C (radiocarbon) dating"
"103","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","26600","800","14C (radiocarbon) dating"
"105","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","26600","800","14C (radiocarbon) dating"
"106","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","29300","450","14C (radiocarbon) dating"
"108","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","32900","700","14C (radiocarbon) dating"
"110","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","32800","450","14C (radiocarbon) dating"
"112","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","31800","310","14C (radiocarbon) dating"
"114","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","32400","450","14C (radiocarbon) dating"
"116","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","32400","450","14C (radiocarbon) dating"
"118","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","32850","500","14C (radiocarbon) dating"
"120","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","32150","450","14C (radiocarbon) dating"
"121","Abri Pataud","Abri Pataud Level 8 fauna","Level 8","31800","280","14C (radiocarbon) dating"
"123","Abri Pataud","Abri Pataud Level 8 fauna","Level 8","31300","400","14C (radiocarbon) dating"
"125","Abri Pataud","Abri Pataud Level 8 fauna","Level 8","33050","500","14C (radiocarbon) dating"
"126","Abri Pataud","Abri Pataud Level 9 fauna","Level 9","33400","500","14C (radiocarbon) dating"
"127","Abri Pataud","Abri Pataud Level 10 fauna","Level 10","33650","500","14C (radiocarbon) dating"
"128","Abri Pataud","Abri Pataud Level 11 fauna","Level 11","32600","550","14C (radiocarbon) dating"
"130","Abri Pataud","Abri Pataud Level 11 fauna","Level 11","32000","800","14C (radiocarbon) dating"
"132","Abri Pataud","Abri Pataud Level 11 fauna","Level 11","33550","550","14C (radiocarbon) dating"
"134","Abri Pataud","Abri Pataud Level 11 fauna","Level 11","33550","550","14C (radiocarbon) dating"
"136","Abri Pataud","Abri Pataud Level 11 fauna","Level 11","34150","550","14C (radiocarbon) dating"
"138","Abri Pataud","Abri Pataud Level 11 fauna","Level 11","33500","500","14C (radiocarbon) dating"
