"","Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae","meanage","sdage"
"1","Abri Blanchard des Roches","Sector 4/5 Fauna","Sector 4/5 Unit A","France","rock shelter",1.101003,45.000152,"",0,11780,"geology (based on position of layers)","-","665","-","-",NA,NA
"2","Abri Castanet","Exc. Peyrony Unit A fauna","Exc. Peyrony Unit A","France","rock shelter",1.101332,44.999663,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","466","-","-",NA,NA
"3","Abri Castanet","Exc. Peyrony Unit C fauna","Exc. Peyrony Unit C","France","rock shelter",1.101332,44.999663,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","","-","-",NA,NA
"4","Abri Castanet","Exc. Peyrony Unit C microfauna","Exc. Peyrony Unit C","France","rock shelter",1.101332,44.999663,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","","","",NA,NA
"5","Abri Cellier","Unit A fauna","Unit A","France","rock shelter",1.053517,44.992153,"UP/ Aurignacian",33050,34150,"14C (radiocarbon) dating","-","444","2","-",38760,1
"6","Abri Cellier","Unit C fauna","Unit C","France","rock shelter",1.053517,44.992153,"UP/ Aurignacian",32000,32900,"14C (radiocarbon) dating","-","355","-","-",36809,1
"7","Abri Pataud","Abri Pataud Level 2 fauna","Level 2","France","rock shelter",1.012781,44.936947,"UP/ Gravettian",19130,22600,"14C (radiocarbon) dating","-","1511","57","-",25095,1
"8","Abri Pataud","Abri Pataud Level 3 fauna","Level 3","France","rock shelter",1.012781,44.936947,"UP/ Gravettian",18190,25100,"14C (radiocarbon) dating","-","2334","28","-",27228,1
"9","Abri Pataud","Abri Pataud Level 4 fauna","Level 4","France","rock shelter",1.012781,44.936947,"UP/ Gravettian",25400,27900,"14C (radiocarbon) dating","-","18222","4","-",31126,1
"10","Abri Pataud","Abri Pataud Level 5 fauna","Level 5","France","rock shelter",1.012781,44.936947,"UP/ Gravettian",21000,29500,"14C (radiocarbon) dating","-","21796","6","-",30963,1
"11","Abri Pataud","Abri Pataud Level 6 fauna","Level 6","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",19350,32300,"14C (radiocarbon) dating","-","","","-",35668,1
"12","Abri Pataud","Abri Pataud Level 7 fauna","Level 7","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",28850,33350,"14C (radiocarbon) dating","-","607","39","-",36519,1
"13","Abri Pataud","Abri Pataud Level 8 fauna","Level 8","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",30900,33550,"14C (radiocarbon) dating","-","102","81","-",36133,1
"14","Abri Pataud","Abri Pataud Level 9 fauna","Level 9","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",32900,33900,"14C (radiocarbon) dating","-","1","-","-",37860,1
"15","Abri Pataud","Abri Pataud Level 10 fauna","Level 10","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",33150,34150,"14C (radiocarbon) dating","-","3","-","-",38986,1
"16","Abri Pataud","Abri Pataud Level 11 fauna","Level 11","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",31200,34700,"14C (radiocarbon) dating","-","437","","-",38740,1
"17","Abri Pataud","Abri Pataud Level 12 fauna","Level 12","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",30500,34900,"14C (radiocarbon) dating","-","180","-","-",38360,1
"18","Abri Pataud","Abri Pataud Level 13 fauna","Level 13","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",33650,35450,"14C (radiocarbon) dating","-","226","2","-",39706,1
"19","Abri Pataud","Abri Pataud Level 14 fauna","Level 14","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",32540,36450,"14C (radiocarbon) dating","-","1500","-","-",39922,1
"20","Abri Pataud","Abri Pataud Eboulis 5/6 fauna","Eboulis 5/6","France","rock shelter",1.012781,44.936947,"",21000,32300,"geology (based on position of layers)","-","","-","-",NA,NA
"21","Abri Pataud","Abri Pataud Eboulis 6/7 fauna","Eboulis 6/7","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",19350,33350,"geology (based on position of layers)","-","","-","-",NA,NA
"22","Abri Pataud","Abri Pataud Eboulis 7/8 fauna","Eboulis 7/8","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",28850,33550,"geology (based on position of layers)","-","12","-","-",NA,NA
"23","Abri Pataud","Abri Pataud Eboulis 8/9 fauna","Eboulis 8/9","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",30900,33900,"geology (based on position of layers)","-","1","-","-",NA,NA
"24","Abri Pataud","Abri Pataud Eboulis 10/11 fauna","Eboulis 10/11","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",33150,34700,"geology (based on position of layers)","-","6","1","-",NA,NA
"25","Abri Pataud","Abri Pataud Eboulis 11/12 fauna","Eboulis 11/12","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",31200,34900,"geology (based on position of layers)","-","","","-",NA,NA
"26","Abri Pataud","Abri Pataud Eboulis 12/13 fauna","Eboulis 12/13","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",30500,35450,"geology (based on position of layers)","-","","-","-",NA,NA
"27","Abri Pataud","Abri Pataud Eboulis 13/14 fauna","Eboulis 13/14","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",33650,36450,"geology (based on position of layers)","-","140","-","-",NA,NA
"28","Abri du Facteur","Unit 10 Fauna","Unit 10","France","rock shelter",1.055363,44.977295,"UP/ Gravettian",25000,35000,"archaeological (cultural) stratigraphy","-","13","10","-",NA,NA
"29","Abri du Facteur","Unit 15 Fauna","Unit 15","France","rock shelter",1.055363,44.977295,"UP/ Upper Paleolithic - Eurasia",25000,43000,"geology (based on position of layers)","-","3","-","-",NA,NA
"30","Abri du Facteur","Unit 16 & 17 Fauna","Unit 16","France","rock shelter",1.055363,44.977295,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","14","8","-",NA,NA
"31","Abri du Facteur","Unit 16 & 17 Fauna","Unit 17","France","rock shelter",1.055363,44.977295,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","14","8","-",NA,NA
"32","Abri du Facteur","Unit 19 Fauna","Unit 17","France","rock shelter",1.055363,44.977295,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","15","15","-",NA,NA
"33","Abri du Facteur","Unit 21 Fauna","Unit 17","France","rock shelter",1.055363,44.977295,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","7","-","-",NA,NA
"34","Abric Romaní","Level A Macromammal Fauna","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",177448,1
"35","Abric Romaní","Level B Macromammal Fauna","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",177448,1
"36","Abric Romaní","Level C Macromammal Fauna","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",177448,1
"37","Abric Romaní","Level D Macromammal Fauna","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",177448,1
"38","Abric Romaní","Level E Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",45964,1
"39","Abric Romaní","Level F Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",45964,1
"40","Abric Romaní","Level G Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",45964,1
"41","Abric Romaní","Level H Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",45964,1
"42","Abric Romaní","Level I Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",45964,1
"43","Abric Romaní","Level J Macromammal Fauna","Sequence III","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",47000,52500,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-",51597,1
"44","Abric Romaní","Level D, micromammals","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","","-",177448,1
"45","Abric Romaní","Level E, micromammals","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","","-",45964,1
"46","Abric Romaní","Level J, micromammals","Sequence III","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",47000,52500,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","","-",51597,1
"47","Abric Romaní","Level N, micromammals","Sequence V","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",53000,65000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","4-3","","","-",55029,1
"48","Abric Romaní","Level O, micromammals","Sequence V","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",53000,65000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","4-3","","","-",55029,1
"49","Abrigo de la Malia","LU-V Macromammal Fauna","LU-V","Spain","rock shelter",-3.258296,41.004633,"UP/ Aurignacian",27360,37200,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating","-","41","-","-",33219,0.999999999999964
"50","Abrigo de la Malia","LU-IVa Macromammal Fauna","LU-IVa","Spain","rock shelter",-3.258296,41.004633,"UP/ Solutrean",22480,22820,"14C (radiocarbon) dating, geology (based on position of layers)","-","83","-","-",27086,1
"51","Abrigo de la Malia","LU-IVb Macromammal Fauna","LU-IVb","Spain","rock shelter",-3.258296,41.004633,"UP/ Gravettian",26520,29400,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","178","-","-",31009,0.999998523354138
"52","Abrigo de la Malia","LU-IVb Micromammal Fauna","LU-IVb","Spain","rock shelter",-3.258296,41.004633,"UP/ Gravettian",26520,29400,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","26","24","-",31009,0.999998523354138
"53","Abrigo de la Malia","LU-IVa Micromammal Fauna","LU-IVa","Spain","rock shelter",-3.258296,41.004633,"UP/ Solutrean",22480,22820,"14C (radiocarbon) dating, geology (based on position of layers)","-","22","21","-",27086,1
"54","Abrigo de la Malia","LU-V Micromammal Fauna","LU-V","Spain","rock shelter",-3.258296,41.004633,"UP/ Aurignacian",27360,37200,"14C (radiocarbon) dating, OSL (optically stimulated thermoluminescence) dating","-","33","32","-",33219,0.999999999999964
"55","Achenheim","Loess recent, Fauna","Lower recent loess","France","quarry",7.624766,48.578703,"",29000,71000,"geology (based on position of layers), stratigraphy","4-3","","-","-",37504,0.999644731455027
"56","Achenheim","Loess recent, Fauna","Upper recent loess","France","quarry",7.624766,48.578703,"",11700,29000,"geology (based on position of layers), stratigraphy","2-1","","-","-",20000,0.474447673351632
"57","Achenheim","Loess recent, Micromammals","Lower recent loess","France","quarry",7.624766,48.578703,"",29000,71000,"geology (based on position of layers), stratigraphy","4-3","","","-",37504,0.999644731455027
"58","Achenheim","Loess recent, Micromammals","Upper recent loess","France","quarry",7.624766,48.578703,"",11700,29000,"geology (based on position of layers), stratigraphy","2-1","","","-",20000,0.474447673351632
"59","Achenheim","Loess ancien sup., Fauna","Upper ancient loess","France","quarry",7.624766,48.578703,"",130000,300000,"geology (based on position of layers), stratigraphy","8-6","","-","-",NA,NA
"60","Achenheim","Loess ancien sup., Micromammals","Upper ancient loess","France","quarry",7.624766,48.578703,"",130000,300000,"geology (based on position of layers), stratigraphy","8-6","","","-",NA,NA
"61","Aghitu-3 Cave","Fauna Layer AH III","GH 3","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",20000,25000,"14C (radiocarbon) dating","-","1240","53","-",27814,1
"62","Aghitu-3 Cave","Fauna Layer AH IV","GH 4","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-",NA,NA
"63","Aghitu-3 Cave","Fauna Layer AH IV","GH 5","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-",NA,NA
"64","Aghitu-3 Cave","Fauna Layer AH IV","GH 6","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-",NA,NA
"65","Aghitu-3 Cave","Fauna Layer AH IV","GH 7","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25000,25700,"geology (based on position of layers)","-","66","37","-",NA,NA
"66","Aghitu-3 Cave","Fauna Layer AH V","GH 8","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",25700,27000,"14C (radiocarbon) dating","-","34","20","-",31158,1
"67","Aghitu-3 Cave","Fauna Layer AH VI","GH 10","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",27500,32000,"14C (radiocarbon) dating","-","368","125","1",34572,1
"68","Aghitu-3 Cave","Fauna Layer AH VII","GH 11","Armenia","cave",46.082183,39.513732,"UP/ Upper Paleolithic - Eurasia",30000,34500,"14C (radiocarbon) dating","-","247","129","5",39263,1
"69","Al Wusta","Archaeological horizon assemblage","Unit 3a","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",85100,113000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","","","-",99688,1
"70","Al Wusta","Archaeological horizon assemblage","Unit 3b","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",0,87600,"U series (uranium-thorium) dating, geology (based on position of layers)","-","","","-",87600,1
"71","Al Wusta","AW, Unit 3-2, Fauna","Unit 2","Saudi Arabia","open air",38.098378,27.257211,"",91600,105600,"geology (based on position of layers)","-","","-","-",NA,NA
"72","Al Wusta","AW, Unit 3-2, Fauna","Unit 3a","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",85100,113000,"ESR (electron spin resonance) dating, OSL (optically stimulated thermoluminescence) dating, geology (based on position of layers)","-","","-","-",99688,1
"73","Al Wusta","AW, Unit 3-2, Fauna","Unit 3b","Saudi Arabia","open air",38.098378,27.257211,"MP/ Middle Paleolithic - Levant",0,87600,"U series (uranium-thorium) dating, geology (based on position of layers)","-","","-","-",87600,1
"74","Al Wusta","AW, Unit 3-2, micromammals","Unit 2","Saudi Arabia","open air",38.098378,27.257211,"",91600,105600,"geology (based on position of layers)","-","","","-",NA,NA
