"Locality","Assemblage","GeoLayer.Name","Country","Locality.Type","X","Y","Technocomplex","Geostrat..Info..age.min","Geostrat..Info..age.max","Geostrat..Info..correlation","Geostrat..Info..mis","NISP.Sum.class.Mammalia","NISP.Sum.order.Rodentia","NISP.Sum.family.Anatidae"
"Abri Blanchard des Roches","Sector 4/5 Fauna","Sector 4/5 Unit A","France","rock shelter",1.101003,45.000152,"",0,11780,"geology (based on position of layers)","-","665","-","-"
"Abri Castanet","Exc. Peyrony Unit A fauna","Exc. Peyrony Unit A","France","rock shelter",1.101332,44.999663,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","466","-","-"
"Abri Castanet","Exc. Peyrony Unit C fauna","Exc. Peyrony Unit C","France","rock shelter",1.101332,44.999663,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","","-","-"
"Abri Castanet","Exc. Peyrony Unit C microfauna","Exc. Peyrony Unit C","France","rock shelter",1.101332,44.999663,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","","",""
"Abri Cellier","Unit A fauna","Unit A","France","rock shelter",1.053517,44.992153,"UP/ Aurignacian",33050,34150,"14C (radiocarbon) dating","-","444","2","-"
"Abri Cellier","Unit C fauna","Unit C","France","rock shelter",1.053517,44.992153,"UP/ Aurignacian",32000,32900,"14C (radiocarbon) dating","-","355","-","-"
"Abri Pataud","Abri Pataud Level 2 fauna","Level 2","France","rock shelter",1.012781,44.936947,"UP/ Gravettian",19130,22600,"14C (radiocarbon) dating","-","1511","57","-"
"Abri Pataud","Abri Pataud Level 3 fauna","Level 3","France","rock shelter",1.012781,44.936947,"UP/ Gravettian",18190,25100,"14C (radiocarbon) dating","-","2334","28","-"
"Abri Pataud","Abri Pataud Level 4 fauna","Level 4","France","rock shelter",1.012781,44.936947,"UP/ Gravettian",25400,27900,"14C (radiocarbon) dating","-","18222","4","-"
"Abri Pataud","Abri Pataud Level 5 fauna","Level 5","France","rock shelter",1.012781,44.936947,"UP/ Gravettian",21000,29500,"14C (radiocarbon) dating","-","21796","6","-"
"Abri Pataud","Abri Pataud Level 6 fauna","Level 6","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",19350,32300,"14C (radiocarbon) dating","-","","","-"
"Abri Pataud","Abri Pataud Level 7 fauna","Level 7","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",28850,33350,"14C (radiocarbon) dating","-","607","39","-"
"Abri Pataud","Abri Pataud Level 8 fauna","Level 8","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",30900,33550,"14C (radiocarbon) dating","-","102","81","-"
"Abri Pataud","Abri Pataud Level 9 fauna","Level 9","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",32900,33900,"14C (radiocarbon) dating","-","1","-","-"
"Abri Pataud","Abri Pataud Level 10 fauna","Level 10","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",33150,34150,"14C (radiocarbon) dating","-","3","-","-"
"Abri Pataud","Abri Pataud Level 11 fauna","Level 11","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",31200,34700,"14C (radiocarbon) dating","-","437","","-"
"Abri Pataud","Abri Pataud Level 12 fauna","Level 12","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",30500,34900,"14C (radiocarbon) dating","-","180","-","-"
"Abri Pataud","Abri Pataud Level 13 fauna","Level 13","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",33650,35450,"14C (radiocarbon) dating","-","226","2","-"
"Abri Pataud","Abri Pataud Level 14 fauna","Level 14","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",32540,36450,"14C (radiocarbon) dating","-","1500","-","-"
"Abri Pataud","Abri Pataud Eboulis 5/6 fauna","Eboulis 5/6","France","rock shelter",1.012781,44.936947,"",21000,32300,"geology (based on position of layers)","-","","-","-"
"Abri Pataud","Abri Pataud Eboulis 6/7 fauna","Eboulis 6/7","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",19350,33350,"geology (based on position of layers)","-","","-","-"
"Abri Pataud","Abri Pataud Eboulis 7/8 fauna","Eboulis 7/8","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",28850,33550,"geology (based on position of layers)","-","12","-","-"
"Abri Pataud","Abri Pataud Eboulis 8/9 fauna","Eboulis 8/9","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",30900,33900,"geology (based on position of layers)","-","1","-","-"
"Abri Pataud","Abri Pataud Eboulis 10/11 fauna","Eboulis 10/11","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",33150,34700,"geology (based on position of layers)","-","6","1","-"
"Abri Pataud","Abri Pataud Eboulis 11/12 fauna","Eboulis 11/12","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",31200,34900,"geology (based on position of layers)","-","","","-"
"Abri Pataud","Abri Pataud Eboulis 12/13 fauna","Eboulis 12/13","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",30500,35450,"geology (based on position of layers)","-","","-","-"
"Abri Pataud","Abri Pataud Eboulis 13/14 fauna","Eboulis 13/14","France","rock shelter",1.012781,44.936947,"UP/ Aurignacian",33650,36450,"geology (based on position of layers)","-","140","-","-"
"Abri du Facteur","Unit 10 Fauna","Unit 10","France","rock shelter",1.055363,44.977295,"UP/ Gravettian",25000,35000,"archaeological (cultural) stratigraphy","-","13","10","-"
"Abri du Facteur","Unit 15 Fauna","Unit 15","France","rock shelter",1.055363,44.977295,"UP/ Upper Paleolithic - Eurasia",25000,43000,"geology (based on position of layers)","-","3","-","-"
"Abri du Facteur","Unit 16 & 17 Fauna","Unit 16","France","rock shelter",1.055363,44.977295,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","14","8","-"
"Abri du Facteur","Unit 16 & 17 Fauna","Unit 17","France","rock shelter",1.055363,44.977295,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","14","8","-"
"Abri du Facteur","Unit 19 Fauna","Unit 17","France","rock shelter",1.055363,44.977295,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","15","15","-"
"Abri du Facteur","Unit 21 Fauna","Unit 17","France","rock shelter",1.055363,44.977295,"UP/ Aurignacian",30000,43000,"archaeological (cultural) stratigraphy","-","7","-","-"
"Abric Romaní","Level A Macromammal Fauna","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
"Abric Romaní","Level B Macromammal Fauna","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
"Abric Romaní","Level C Macromammal Fauna","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
"Abric Romaní","Level D Macromammal Fauna","Sequence I","Spain","rock shelter",1.688266,41.532812,"UP/ Aurignacian, MP/ Mousterian - Eurasia, MP/ Mousterian - Eurasia",30000,48000,"14C (radiocarbon) dating, U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
"Abric Romaní","Level E Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
"Abric Romaní","Level F Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
"Abric Romaní","Level G Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
"Abric Romaní","Level H Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
"Abric Romaní","Level I Macromammal Fauna","Sequence II","Spain","rock shelter",1.688266,41.532812,"MP/ Mousterian - Eurasia",37000,50000,"U series (uranium-thorium) dating, archaeological (cultural) stratigraphy, geology (based on position of layers), geomorphology, stratigraphy","3","","-","-"
