Dummy,Locality,Assemblage name,GeoLayer,ArchLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Abri Blanchard des Roches,Sector 4/5 Fauna,Sector 4/5 Unit A,Sector 4/5 Unit A,-,-,-,-,-,-,-,-,-
,Abri Castanet,Exc. Peyrony Unit A fauna,Exc. Peyrony Unit A,Exc. Peyrony Unit A,-,-,-,-,-,-,-,-,-
,Abri Castanet,Exc. Peyrony Unit C fauna,Exc. Peyrony Unit C,Exc. Peyrony Unit C,-,-,-,-,-,-,-,-,-
,Abri Castanet,Exc. Peyrony Unit C microfauna,Exc. Peyrony Unit C,Exc. Peyrony Unit C,-,-,-,-,-,-,-,-,-
,Abri Cellier,Unit A fauna,Unit A,Unit A,-,-,-,-,-,-,-,-,-
,Abri Cellier,Unit C fauna,Unit C,Unit C,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 2 fauna,Level 2,Level 2,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 3 fauna,Level 3,Level 3,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 4 fauna,Level 4,Level 4,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 5 fauna,Level 5,Level 5,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 6 fauna,Level 6,Level 6,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 7 fauna,Level 7,Level 7,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 8 fauna,Level 8,Level 8,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 9 fauna,Level 9,Level 9,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 10 fauna,Level 10,Level 10,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 11 fauna,Level 11,Level 11,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 12 fauna,Level 12,Level 12,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 13 fauna,Level 13,Level 13,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 14 fauna,Level 14,Level 14,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 5/6 fauna,Eboulis 5/6,Eboulis 5/6,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 6/7 fauna,Eboulis 6/7,Eboulis 6/7,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 7/8 fauna,Eboulis 7/8,Eboulis 7/8,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 8/9 fauna,Eboulis 8/9,Eboulis 8/9,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 10/11 fauna,Eboulis 10/11,Eboulis 10/11,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 11/12 fauna,Eboulis 11/12,Eboulis 11/12,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 12/13 fauna,Eboulis 12/13,Eboulis 12/13,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 13/14 fauna,Eboulis 13/14,Eboulis 13/14,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 10 Fauna,Unit 10,Unit 10,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 15 Fauna,Unit 15,Unit 15,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 16 & 17 Fauna,Unit 16,Unit 16,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 16 & 17 Fauna,Unit 17,Unit 17,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 19 Fauna,Unit 17,Unit 17,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 21 Fauna,Unit 17,Unit 17,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level A Macromammal Fauna,Sequence I,Level A,AA,AA-6608,36740,920,920,14C (radiocarbon) dating,charcoal,1994,14C AMS; see Bischoff et al 1994
,,,,,,,,,,,,,
,,,,Level A,AA,AA-7395,37290,990,990,14C (radiocarbon) dating,charcoal,0,see Vaquero et al. 2013
,,,,,,,,,,,,,
,,,,Level A,AA,AA-8037A,35400,810,810,14C (radiocarbon) dating,charcoal,0,see Vaquero et al. 2013
,,,,,,,,,,,,,
,,,,Level A,AA,AA-8037B,37900,1000,1000,14C (radiocarbon) dating,charcoal,0,see Vaquero et al. 2013
,,,,,,,,,,,,,
,,,,Level A,NZA,NZA-1817,28440,650,650,14C (radiocarbon) dating,charcoal,0,see Vaquero et al. 2013; young date
,,,,,,,,,,,,,
,,,,Level A,NZA,NZA-1818,23160,490,490,14C (radiocarbon) dating,charcoal,0,see Vaquero et al. 2013; young date
,,,,,,,,,,,,,
,,,,Level A,NZA,NZA-2311,36950,460,460,14C (radiocarbon) dating,charcoal,1994,14C AMS; see Bischoff et al 1994
,,,,,,,,,,,,,
,,,,Level A,OxA,OxA-11573,20680,110,110,14C (radiocarbon) dating,shell,2012,14C AMS; see Camps & Higham 2012; sample No. ARMAC 12817; 1st series probably contaminated
,,,,,,,,,,,,,
,,,,Level A,OxA,OxA-11922,20190,75,75,14C (radiocarbon) dating,shell,2012,14C AMS; see Camps & Higham 2012; sample No. ARMAC12817(p); 1st series probably contaminated - too young
,,,,,,,,,,,,,
,,,,Level A,OxA,OxA-11923,21155,80,80,14C (radiocarbon) dating,shell,2012,14C AMS; see Camps & Higham 2012; sample No. ARMAC 12819; 1st series probably contaminated
,,,,,,,,,,,,,
,,,,Level A,OxA,OxA-11924,20295,75,75,14C (radiocarbon) dating,shell,2012,14C AMS; see Camps & Higham 2012; sample No. ARMAC 23146; 1st series probably contaminated
,,,,,,,,,,,,,
,,,,Level A,OxA,OxA-11967,35900,600,600,14C (radiocarbon) dating,tooth,2012,14C AMS; see Camps & Higham 2012; sample from AR98
,,,,,,,,,,,,,
,,,,Level A,OxA,OxA-X-2095-46,36490,230,230,14C (radiocarbon) dating,shell,2012,14C AMS; see Camps & Higham 2012; sample No. ARMAC12817(p); 2nd series of ARMAC 12817(p)
,,,,,,,,,,,,,
,,,,Level A,OxA,OxA-X-2099-29,25010,120,120,14C (radiocarbon) dating,shell,2012,14C AMS; see Camps & Higham 2012; sample No. ARMAC 12822; 2nd series contaminated
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-2839,36300,1300,1300,14C (radiocarbon) dating,travertine,1994,14C conventional; see Bischoff et al 1994; sample from AR4 above level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-2840,35000,500,500,14C (radiocarbon) dating,charcoal,1994,14C conventional; see Bischoff et al 1994; sample from AR6 below level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-87-35f,42900,1600,1600,U series (uranium-thorium) dating,sediment,0,see Vaquero et al. 2013; sample from above Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-87-36f,39400,1500,1500,U series (uranium-thorium) dating,sediment,0,see Vaquero et al. 2013; sample from above Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-87-37f,43800,1500,1500,U series (uranium-thorium) dating,sediment,0,see Vaquero et al. 2013; sample from below Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-87-44,39100,1500,1500,U series (uranium-thorium) dating,sediment,0,see Vaquero et al. 2013; sample from above Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-87-88,40800,1300,1300,U series (uranium-thorium) dating,sediment,0,see Vaquero et al. 2013; sample from above Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-90-111,45100,1000,1000,U series (uranium-thorium) dating,carbonate,1994,Carbonate from AR3; see Bischoff et al 1994; sample from below Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-90-22,45500,1300,1300,U series (uranium-thorium) dating,carbonate,1994,Carbonate from AR3; see Bischoff et al 1994; sample from below Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-90-40,48600,400,400,U series (uranium-thorium) dating,carbonate,1994,Carbonate from AR3; see Bischoff et al 1994; sample from below Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-90-93,46100,1300,1300,U series (uranium-thorium) dating,carbonate,1994,Carbonate from AR3; see Bischoff et al 1994; sample from below Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-90-AR3,42600,1100,1100,U series (uranium-thorium) dating,sediment,0,see Vaquero et al. 2013; sample from below Level A
,,,,,,,,,,,,,
,,,,Level A,USGS,USGS-90-AR4,41500,2000,2000,U series (uranium-thorium) dating,sediment,0,see Vaquero et al. 2013; sample from above Level A
,,,,,,,,,,,,,
