Dummy,Locality,Assemblage name,GeoLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Abri Blanchard des Roches,Sector 4/5 Fauna,Sector 4/5 Unit A,-,-,-,-,-,-,-,-,-
,Abri Castanet,Exc. Peyrony Unit A fauna,Exc. Peyrony Unit A,-,-,-,-,-,-,-,-,-
,Abri Castanet,Exc. Peyrony Unit C fauna,Exc. Peyrony Unit C,-,-,-,-,-,-,-,-,-
,Abri Castanet,Exc. Peyrony Unit C microfauna,Exc. Peyrony Unit C,-,-,-,-,-,-,-,-,-
,Abri Cellier,Unit A fauna,Unit A,-,-,-,-,-,-,-,-,-
,Abri Cellier,Unit C fauna,Unit C,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 2 fauna,Level 2,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 3 fauna,Level 3,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 4 fauna,Level 4,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 5 fauna,Level 5,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 6 fauna,Level 6,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 7 fauna,Level 7,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 8 fauna,Level 8,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 9 fauna,Level 9,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 10 fauna,Level 10,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 11 fauna,Level 11,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 12 fauna,Level 12,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 13 fauna,Level 13,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Level 14 fauna,Level 14,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 5/6 fauna,Eboulis 5/6,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 6/7 fauna,Eboulis 6/7,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 7/8 fauna,Eboulis 7/8,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 8/9 fauna,Eboulis 8/9,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 10/11 fauna,Eboulis 10/11,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 11/12 fauna,Eboulis 11/12,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 12/13 fauna,Eboulis 12/13,-,-,-,-,-,-,-,-,-
,Abri Pataud,Abri Pataud Eboulis 13/14 fauna,Eboulis 13/14,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 10 Fauna,Unit 10,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 15 Fauna,Unit 15,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 16 & 17 Fauna,Unit 16,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 16 & 17 Fauna,Unit 17,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 19 Fauna,Unit 17,-,-,-,-,-,-,-,-,-
,Abri du Facteur,Unit 21 Fauna,Unit 17,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level A Macromammal Fauna,Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level B Macromammal Fauna,Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level C Macromammal Fauna,Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level D Macromammal Fauna,Sequence I,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level E Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level F Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level G Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level H Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
,Abric Romaní,Level I Macromammal Fauna,Sequence II,-,-,-,-,-,-,-,-,-
