Dummy,Locality,Assemblage name,GeoLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Abri Blanchard des Roches,Sector 4/5 Fauna,Sector 4/5 Unit A,-,-,-,-,-,-,-,-,-
,Abri Castanet,Exc. Peyrony Unit A fauna,Exc. Peyrony Unit A,-,-,-,-,-,-,-,-,-
,Abri Castanet,Exc. Peyrony Unit C fauna,Exc. Peyrony Unit C,-,-,-,-,-,-,-,-,-
,Abri Castanet,Exc. Peyrony Unit C microfauna,Exc. Peyrony Unit C,-,-,-,-,-,-,-,-,-
,Abri Cellier,Unit A fauna,Unit A,OxA,OxA-32204,33600,550,550,14C (radiocarbon) dating,bone,2017,-
,Abri Cellier,Unit C fauna,Unit C,OxA,OxA-32203,32450,450,450,14C (radiocarbon) dating,bone,2017,-
,Abri Pataud,Abri Pataud Level 2 fauna,Level 2,GrN,GrN-1857,20960,220,220,14C (radiocarbon) dating,bone,1987,-
,,,,,,,,,,,,
,,,,GrN,GrN-1861,20780,170,170,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-1862,21940,250,250,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-1885,19300,170,170,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-2081,20540,140,140,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-2115,20340,200,200,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-2123,19780,170,170,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-3255,19650,300,300,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4230,20810,170,170,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4231,21380,340,340,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-162,22000,600,600,14C (radiocarbon) dating,bone,,-
,Abri Pataud,Abri Pataud Level 3 fauna,Level 3,GrN,GrN-1864,18470,280,280,14C (radiocarbon) dating,bone,1987,-
,,,,,,,,,,,,
,,,,GrN,GrN-1892,21540,160,160,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4506,22780,140,140,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4721,23010,170,170,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-163,23180,670,670,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-164,24250,750,750,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-165,24440,740,740,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-599,21740,450,450,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-686,24500,600,600,14C (radiocarbon) dating,bone,,-
,Abri Pataud,Abri Pataud Level 4 fauna,Level 4,GrN,GrN-4280,27060,370,370,14C (radiocarbon) dating,bone,1987,-
,,,,,,,,,,,,
,,,,OxA,-,26900,1000,1000,14C (radiocarbon) dating,bone,,no analysis number
,,,,,,,,,,,,
,,,,OxA,OxA-167,26500,980,980,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,OxA,OxA-374,26300,900,900,14C (radiocarbon) dating,bone,,-
,Abri Pataud,Abri Pataud Level 5 fauna,Level 5,GX,GX-1369,26720,460,460,14C (radiocarbon) dating,bone,1955,-
,,,,,,,,,,,,
,,,,GX,GX-1370,27545,320,320,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GX,GX-1371,25815,330,330,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GX,GX-1372,26340,450,450,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4477,26600,200,200,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4631,21780,215,215,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
,,,,GrN,GrN-4634,28150,225,225,14C (radiocarbon) dating,bone,,-
,,,,,,,,,,,,
