"","Summary Statistic","mean","median","lower 95% HPD interval","upper 95% HPD interval","Group"
"1","Denisova 5",143670,143460,110100,178720,"Strict"
"2","Riparo Broion",40304.7778,40744.9231,31868.594,46926.5265,"Strict"
"3","Chagyrskaya 8",72497.7774,71994.1996,52255.8834,94095.7967,"Strict"
"4","Chagyrskaya 01",75477.7979,74989.8722,55681.4975,96736.6162,"Strict"
"5","Chagyrskaya 02",68019.753,67355.3578,48250.558,89299.3399,"Strict"
"6","Chagyrskaya 17",65188.8453,64481.7751,45660.8501,87048.0311,"Strict"
"7","Chagyrskaya 18",85325.4903,85066.6203,64580.8062,106810,"Strict"
"8","Chagyrskaya 19",68047.3614,67396.9412,48549.3289,89693.6302,"Strict"
"9","Chagyrskaya 20",85314.7001,85038.475,64733.5934,106820,"Strict"
"10","Chagyrskaya 41",85351.3257,85135.1737,64595.2679,106770,"Strict"
"11","Denisova 11",96277.6604,96008.0177,76051.074,116790,"Strict"
"12","Denisova 15",136810,136620,101200,171780,"Strict"
"13","Denisova 17",135470,135390,103350,167700,"Strict"
"14","El Sidron 1253",44808.4745,45196.6048,41412.1366,47049.9692,"Strict"
"15","Feldhofer 1",43661.6626,43635.3553,42671.206,44631.6201,"Strict"
"16","Feldhofer 2",43393.6921,43451.5944,42350.8019,44339.9829,"Strict"
"17","Fonds de Foret",39567.8747,39600.5434,38533.6194,40599.9849,"Strict"
"18","Goyet Q305-1",41156.3063,41296.2968,30307.5443,49577.164,"Strict"
"19","Goyet 2878-2D",41322.9795,41837.108,35622.9711,45509.733,"Strict"
"20","Goyet Q305-4",44249.1899,44231.2579,43430.5189,45047.147,"Strict"
"21","Goyet Q56-1",42505.65,42490.0237,42080.0539,42941.3178,"Strict"
"22","GoyetQ57-2",41233.6174,41244.6978,40687.1095,41799.9949,"Strict"
"23","Hohlenstein-Stadel",143130,143130,89766.3133,195080,"Strict"
"24","LesCottesZ4-1514",43248.8698,43259.6941,42776.1081,43739.9972,"Strict"
"25","Mezmaiskaya 1",105460,105430,74732.9591,136100,"Strict"
"26","Mezmaiskaya 2",43831.1382,43857.2,43057.4923,44599.8077,"Strict"
"27","Mezmaiskaya 3",95749.5683,95836.2055,64220.3226,127870,"Strict"
"28","Okladnikov 2",90084.6498,89968.4268,67590.9282,111770,"Strict"
"29","Pesturina 3",109690,109460,78980.5307,139680,"Strict"
"30","Scladina I-4A",130180,130130,94031.5163,165750,"Strict"
"31","Spy94a",41815.9417,41952.7985,40025.6577,43299.9231,"Strict"
"32","Stajnia S5000",116250,116020,87162.8378,146260,"Strict"
"33","Thorin",103230,103100,73521.8246,135740,"Strict"
"34","Trou Magritte 2422-36",43600.4738,43165.1973,34754.2627,53341.0037,"Strict"
"35","Vindija 33.16",44700.1572,44914.8489,40856.8024,48179.8987,"Strict"
"36","Vindija 33.17",49315.1472,49248.0437,42172.2903,56603.1183,"Strict"
"37","Vindija 33.19",44940.9463,45004.9451,42381.8653,47597.2838,"Strict"
"38","Vindija 33.25",43592.9051,43160.5123,34616.6753,53328.4951,"Strict"
"39","Chagyrskaya 01",79699.6555,78388.818,54171.7029,107190,"Relaxed"
"40","Chagyrskaya 02",71492.309,70093.9023,47403.0647,99087.5808,"Relaxed"
"41","Chagyrskaya 17",68453.1782,67093.0193,44250.9202,95458.7703,"Relaxed"
"42","Chagyrskaya 18",90219.8562,89022.3313,62696.4537,119020,"Relaxed"
"43","Chagyrskaya 19",71461.8773,70067.4499,46604.8618,98339.2142,"Relaxed"
"44","Chagyrskaya 20",90181.8795,89027.3149,62806.8342,119290,"Relaxed"
"45","Chagyrskaya 41",90167.4606,89007.8496,63320.22,119500,"Relaxed"
"46","Chagyrskaya 8",76541.5809,75329.295,50790.3998,104350,"Relaxed"
"47","Denisova 11",101500,100340,73477.3047,131460,"Relaxed"
"48","Denisova 15",158950,156270,104510,219160,"Relaxed"
"49","Denisova 17",155760,153490,105210,210460,"Relaxed"
"50","Denisova 5",165640,162720,112650,225370,"Relaxed"
"51","El Sidron 1253",44684.4331,45072.0137,41231.658,47049.9899,"Relaxed"
"52","Feldhofer 1",43665.1619,43641.4059,42670.48,44632.9941,"Relaxed"
"53","Feldhofer 2",43381.7761,43439.3004,42337.29,44339.9395,"Relaxed"
"54","Fonds de Foret",39556.5146,39586.1637,38526.8979,40598.1437,"Relaxed"
"55","Goyet 2878-2D",41271.1606,41780.8973,35452.7544,45604.81,"Relaxed"
"56","Goyet Q305-1",41570.1176,41415.4714,30646.0458,50744.9472,"Relaxed"
"57","Goyet Q305-4",44251.5269,44232.6745,43430.0147,45051.4696,"Relaxed"
"58","Goyet Q56-1",42506.4042,42490.0912,42080.0043,42941.5514,"Relaxed"
"59","GoyetQ57-2",41226.701,41236.4919,40683.3129,41798.6212,"Relaxed"
"60","Hohlenstein-Stadel",193250,191430,111760,284210,"Relaxed"
"61","LesCottesZ4-1514",43250.1883,43261.2162,42776.5478,43739.9887,"Relaxed"
"62","Mezmaiskaya 1",120120,119100,77104.178,164560,"Relaxed"
"63","Mezmaiskaya 2",43825.9907,43846.1361,43051.0115,44597.7276,"Relaxed"
"64","Mezmaiskaya 3",109930,108960,65954.5945,154500,"Relaxed"
"65","Okladnikov 2",94970.1702,93948.5456,65288.3279,126310,"Relaxed"
"66","Pesturina 3",122930,121590,80500.6158,167390,"Relaxed"
"67","Riparo Broion",40511.1692,40767.1867,32271.0384,47309.6592,"Relaxed"
"68","Scladina I-4A",152680,149890,95779.7616,211930,"Relaxed"
"69","Spy94a",41777.3656,41906.0773,39989.1989,43299.9868,"Relaxed"
"70","Stajnia S5000",129920,128630,87827.6394,173440,"Relaxed"
"71","Thorin",116670,115500,72924.3982,160770,"Relaxed"
"72","Trou Magritte 2422-36",43655.5064,43117.5494,34491.924,54070.8436,"Relaxed"
"73","Vindija 33.16",44655.0585,44889.1279,40694.0578,48178.0431,"Relaxed"
"74","Vindija 33.17",49508.2387,49429.8966,41711.629,57762.2944,"Relaxed"
"75","Vindija 33.19",44947.514,45022.9275,42374.8744,47598.2153,"Relaxed"
"76","Vindija 33.25",43689.7674,43153.4513,34739.84,54180.496,"Relaxed"
"77","Chagyrskaya 01",70699.5745,70133.2717,51485.0063,91721.6884,"Strict | Thorin tip date"
"78","Chagyrskaya 02",63510.805,62868.0577,44008.0583,84795.1049,"Strict | Thorin tip date"
"79","Chagyrskaya 17",60799.1155,60113.6247,41449.6914,81946.1705,"Strict | Thorin tip date"
"80","Chagyrskaya 18",80385.2419,80165.678,60851.1501,101510,"Strict | Thorin tip date"
"81","Chagyrskaya 19",63513.6964,62823.5965,43959.3755,84589.0272,"Strict | Thorin tip date"
"82","Chagyrskaya 20",80352.5897,80129.9609,60291.6155,101080,"Strict | Thorin tip date"
"83","Chagyrskaya 41",80360.6576,80122.1912,60178.4508,100770,"Strict | Thorin tip date"
"84","Chagyrskaya 8",67864.6672,67344.9826,48008.3577,88599.393,"Strict | Thorin tip date"
"85","Denisova 11",91048.2383,90810.8522,71949.6976,109620,"Strict | Thorin tip date"
"86","Denisova 15",119690,119620,88658.1622,151750,"Strict | Thorin tip date"
"87","Denisova 17",117340,117280,89484.3186,146710,"Strict | Thorin tip date"
"88","Denisova 5",126520,126600,95462.6171,157430,"Strict | Thorin tip date"
"89","El Sidron 1253",44796.1926,45175.4934,41409.8049,47049.8673,"Strict | Thorin tip date"
"90","Feldhofer 1",43649.7637,43617.6186,42670.0075,44628.3034,"Strict | Thorin tip date"
"91","Feldhofer 2",43398.2569,43463.311,42345.9528,44339.0214,"Strict | Thorin tip date"
"92","Fonds de Foret",39566.8882,39602.2709,38532.3679,40599.9109,"Strict | Thorin tip date"
"93","Goyet 2878-2D",41294.5898,41823.5089,35737.0137,45436.0408,"Strict | Thorin tip date"
"94","Goyet Q305-1",41136.3552,41321.2009,30411.2204,49483.9875,"Strict | Thorin tip date"
"95","Goyet Q305-4",44247.47,44224.5788,43430.0424,45049.7853,"Strict | Thorin tip date"
"96","Goyet Q56-1",42502.2673,42483.6146,42080.0014,42940.5554,"Strict | Thorin tip date"
"97","GoyetQ57-2",41231.9216,41245.2051,40686.2231,41799.4088,"Strict | Thorin tip date"
"98","Hohlenstein-Stadel",128670,128550,77695.7705,177250,"Strict | Thorin tip date"
"99","LesCottesZ4-1514",43247.0646,43255.5804,42776.6064,43739.9835,"Strict | Thorin tip date"
"100","Mezmaiskaya 1",83340.9277,83217.5516,56726.1248,109150,"Strict | Thorin tip date"
"101","Mezmaiskaya 2",43832.6147,43859.0612,43055.5318,44599.9351,"Strict | Thorin tip date"
"102","Mezmaiskaya 3",74415.7562,74046.9131,48264.5152,101420,"Strict | Thorin tip date"
"103","Okladnikov 2",85048.8795,85002.292,63952.3676,104940,"Strict | Thorin tip date"
"104","Pesturina 3",79321.8882,79106.8339,53821.8833,104800,"Strict | Thorin tip date"
"105","Riparo Broion",40198.2612,40647.8623,31960.4422,46698.6433,"Strict | Thorin tip date"
"106","Scladina I-4A",113200,113030,81111.8665,145610,"Strict | Thorin tip date"
"107","Spy94a",41814.767,41953.6529,40015.3175,43299.9446,"Strict | Thorin tip date"
"108","Stajnia S5000",85260.344,85172.8395,60560.4782,110390,"Strict | Thorin tip date"
"109","Thorin",51752.1364,52333.9058,46730.9963,54999.9656,"Strict | Thorin tip date"
"110","Trou Magritte 2422-36",43213.6939,42875.4868,34644.9446,52562.1321,"Strict | Thorin tip date"
"111","Vindija 33.16",44610.8576,44800.7563,40765.9688,48178.2154,"Strict | Thorin tip date"
"112","Vindija 33.17",48936.7792,48909.9209,42005.1358,56222.595,"Strict | Thorin tip date"
"113","Vindija 33.19",44869.2579,44905.1422,42330.3554,47578.1348,"Strict | Thorin tip date"
"114","Vindija 33.25",43208.6928,42859.1065,34646.2892,52575.5452,"Strict | Thorin tip date"
"115","Chagyrskaya 01",74357.657,73399.1645,50770.8793,100320,"Relaxed | Thorin tip date"
"116","Chagyrskaya 02",66527.3295,65465.8822,43193.7651,92388.7503,"Relaxed | Thorin tip date"
"117","Chagyrskaya 17",63625.2428,62518.7706,41033.85,90334.9695,"Relaxed | Thorin tip date"
"118","Chagyrskaya 18",84417.1613,83553.1718,58775.1488,110900,"Relaxed | Thorin tip date"
"119","Chagyrskaya 19",66553.212,65471.8033,43552.8064,92823.8262,"Relaxed | Thorin tip date"
"120","Chagyrskaya 20",84420.0406,83550.1264,59787.6516,111350,"Relaxed | Thorin tip date"
"121","Chagyrskaya 41",84385.9161,83495.6697,58471.7334,110370,"Relaxed | Thorin tip date"
"122","Chagyrskaya 8",71280.069,70257.7292,47615.1731,97446.9516,"Relaxed | Thorin tip date"
"123","Denisova 11",95322.2375,94375.4306,70465.7808,121960,"Relaxed | Thorin tip date"
"124","Denisova 15",135880,133900,89540.4457,186660,"Relaxed | Thorin tip date"
"125","Denisova 17",131490,130050,89371.3608,175960,"Relaxed | Thorin tip date"
"126","Denisova 5",142310,140300,95591.0249,192550,"Relaxed | Thorin tip date"
"127","El Sidron 1253",44669.5832,45050.8288,41212.8122,47049.7706,"Relaxed | Thorin tip date"
"128","Feldhofer 1",43654.4882,43628.4696,42670.6823,44627.4511,"Relaxed | Thorin tip date"
"129","Feldhofer 2",43385.6867,43444.8618,42342.7092,44339.8818,"Relaxed | Thorin tip date"
"130","Fonds de Foret",39546.2614,39574.9684,38527.9717,40599.9828,"Relaxed | Thorin tip date"
"131","Goyet 2878-2D",41252.1061,41751.6546,35747.7269,45732.5838,"Relaxed | Thorin tip date"
"132","Goyet Q305-1",41446.15,41345.4395,31019.9374,50623.9862,"Relaxed | Thorin tip date"
"133","Goyet Q305-4",44251.8804,44235.7997,43430.736,45051.0605,"Relaxed | Thorin tip date"
"134","Goyet Q56-1",42503.0389,42484.0152,42080.0219,42941.8325,"Relaxed | Thorin tip date"
"135","GoyetQ57-2",41225.0864,41231.5106,40683.4662,41799.5244,"Relaxed | Thorin tip date"
"136","Hohlenstein-Stadel",174040,170610,94351.3871,266200,"Relaxed | Thorin tip date"
"137","LesCottesZ4-1514",43246.4263,43253.7196,42774.353,43738.8987,"Relaxed | Thorin tip date"
"138","Mezmaiskaya 1",94305.0185,93482.7987,57512.6643,130380,"Relaxed | Thorin tip date"
"139","Mezmaiskaya 2",43827.2272,43850.8604,43056.5678,44599.9681,"Relaxed | Thorin tip date"
"140","Mezmaiskaya 3",85189.0813,84342.2211,49293.1902,121600,"Relaxed | Thorin tip date"
"141","Okladnikov 2",88872.9085,88123.4829,61664.4445,116200,"Relaxed | Thorin tip date"
"142","Pesturina 3",87668.3655,86625.4964,51877.4471,123690,"Relaxed | Thorin tip date"
"143","Riparo Broion",40396.2812,40658.3784,32574.0031,47374.4797,"Relaxed | Thorin tip date"
"144","Scladina I-4A",130020,128100,83727.2859,181900,"Relaxed | Thorin tip date"
"145","Spy94a",41773.5443,41895.0041,40001.0698,43299.937,"Relaxed | Thorin tip date"
"146","Stajnia S5000",93404.2264,92272.6696,57997.2963,130160,"Relaxed | Thorin tip date"
"147","Thorin",51498.9102,52050.884,46448.6956,54999.94,"Relaxed | Thorin tip date"
"148","Trou Magritte 2422-36",43351.3376,42879.1996,34526.5032,53458.1052,"Relaxed | Thorin tip date"
