"Sample","Distance","Group"
"Feldhofer2",8,"Goyet"
"Feldhofer2",10,"Goyet"
"GoyetQ57-2",12,"Goyet"
"Feldhofer2",10,"Goyet"
"GoyetQ57-2",12,"Goyet"
"GoyetQ56-1",0,"Goyet"
"Feldhofer2",2,"Goyet"
"GoyetQ57-2",10,"Goyet"
"GoyetQ56-1",12,"Goyet"
"Goyet2878-2D",12,"Goyet"
"Feldhofer2",1,"Goyet"
"GoyetQ57-2",9,"Goyet"
"GoyetQ56-1",11,"Goyet"
"Goyet2878-2D",11,"Goyet"
"GoyetQ305-1",3,"Goyet"
"Vindija33.19",8,"Vindija"
"Vindija33.19",0,"Vindija"
"Vindija33.25",8,"Vindija"
"Vindija33.19",1,"Vindija"
"Vindija33.25",7,"Vindija"
"Vindija_33.16",1,"Vindija"
"Feldhofer1",7,"Feldhofer"
"ElSidron1253",5,"Late Neanderthals"
"ElSidron1253",9,"Late Neanderthals"
"GoyetQ305-4",8,"Late Neanderthals"
"ElSidron1253",10,"Late Neanderthals"
"GoyetQ305-4",9,"Late Neanderthals"
"Feldhofer1",1,"Late Neanderthals"
"ElSidron1253",4,"Late Neanderthals"
"GoyetQ305-4",1,"Late Neanderthals"
"Feldhofer1",7,"Late Neanderthals"
"GoyetQ57-2",8,"Late Neanderthals"
"ElSidron1253",10,"Late Neanderthals"
"GoyetQ305-4",9,"Late Neanderthals"
"Feldhofer1",1,"Late Neanderthals"
"GoyetQ57-2",2,"Late Neanderthals"
"Feldhofer2",8,"Late Neanderthals"
"ElSidron1253",11,"Late Neanderthals"
"GoyetQ305-4",12,"Late Neanderthals"
"Feldhofer1",12,"Late Neanderthals"
"GoyetQ57-2",13,"Late Neanderthals"
"Feldhofer2",11,"Late Neanderthals"
"Fonds-de-Foret",13,"Late Neanderthals"
"ElSidron1253",6,"Late Neanderthals"
"GoyetQ305-4",3,"Late Neanderthals"
"Feldhofer1",9,"Late Neanderthals"
"GoyetQ57-2",10,"Late Neanderthals"
"Feldhofer2",2,"Late Neanderthals"
"Fonds-de-Foret",10,"Late Neanderthals"
"Goyet2878-2D",13,"Late Neanderthals"
"ElSidron1253",11,"Late Neanderthals"
"GoyetQ305-4",12,"Late Neanderthals"
"Feldhofer1",12,"Late Neanderthals"
"GoyetQ57-2",13,"Late Neanderthals"
"Feldhofer2",11,"Late Neanderthals"
"Fonds-de-Foret",13,"Late Neanderthals"
"Goyet2878-2D",0,"Late Neanderthals"
"GoyetQ305-1",13,"Late Neanderthals"
"ElSidron1253",6,"Late Neanderthals"
"GoyetQ305-4",5,"Late Neanderthals"
"Feldhofer1",9,"Late Neanderthals"
"GoyetQ57-2",10,"Late Neanderthals"
"Feldhofer2",4,"Late Neanderthals"
"Fonds-de-Foret",10,"Late Neanderthals"
"Goyet2878-2D",13,"Late Neanderthals"
"GoyetQ305-1",6,"Late Neanderthals"
